quarterbeats	mn	mn_onset	a_duration	a_annotationNumber	label	a_romanNumeral	a_isOnset	a_pitchNames	a_bass	a_root	a_inversion	a_quality	a_pcset	a_localKey	localkey_abs	globalkey	a_tonicizedKey	a_degree1	a_degree2	a_simpleNumeral
0.0	1	0	4.0	0	I	I	True	('G', 'B', 'D')	G	G	0	major triad	(2, 7, 11)	g	g	g	g	1	None	I
4.0	2	0	2.0	1	I	I	True	('G', 'B', 'D')	G	G	0	major triad	(2, 7, 11)	g	g	g	g	1	None	I
6.0	2	1/2	2.0	2	III	III	True	('B-', 'D', 'F')	B-	B-	0	major triad	(2, 5, 10)	g	g	g	g	3	None	III
8.0	3	0	3.0	3	VII	VII	True	('F', 'A', 'C')	F	F	0	major triad	(0, 5, 9)	g	g	g	g	7	None	VII
11.0	3	3/4	1.0	4	i	i	True	('G', 'B-', 'D')	G	G	0	minor triad	(2, 7, 10)	g	g	g	g	1	None	i
12.0	4	0	4.0	5	V	V	True	('D', 'F#', 'A')	D	D	0	major triad	(2, 6, 9)	g	g	g	g	5	None	V
16.0	5	0	4.0	6	V	V	True	('D', 'F#', 'A')	D	D	0	major triad	(2, 6, 9)	g	g	g	g	5	None	V
20.0	6	0	2.0	7	I	I	True	('D', 'F#', 'A')	D	D	0	major triad	(2, 6, 9)	d	d	g	d	1	None	I
22.0	6	1/2	2.0	8	III	III	True	('F', 'A', 'C')	F	F	0	major triad	(0, 5, 9)	d	d	g	d	3	None	III
24.0	7	0	3.0	9	VII	VII	True	('C', 'E', 'G')	C	C	0	major triad	(0, 4, 7)	d	d	g	d	7	None	VII
27.0	7	3/4	1.0	10	i	i	True	('D', 'F', 'A')	D	D	0	minor triad	(2, 5, 9)	d	d	g	d	1	None	i
28.0	8	0	2.0	11	i6/4	i	True	('A', 'D', 'F')	A	D	2	minor triad	(2, 5, 9)	d	d	g	d	1	None	i
