dataset	subcorpus	file	fname	extension	id_v100	split_v100	last_modified_v100	file_change_commit_url_v100	repository	repo_version	folder	folderpath	filepath
ABC		all_annotations.tsv	all_annotations	tsv			6dcced1	https://github.com/DCMLab/ABC/blob/6dcced1/data/all_annotations.tsv	ABC	v1.0	data	rawdata/ABC/data	rawdata/ABC/data/all_annotations.tsv
ABC		op127_no12_mov1.mscx	op127_no12_mov1	mscx			4866f0f	https://github.com/DCMLab/ABC/blob/4866f0f/data/mscx/op. 127 No. 12/op127_no12_mov1.mscx	ABC	v1.0	op. 127 No. 12	rawdata/ABC/data/mscx/op. 127 No. 12	rawdata/ABC/data/mscx/op. 127 No. 12/op127_no12_mov1.mscx
ABC		op127_no12_mov1.tsv	op127_no12_mov1	tsv			19bd4d5	https://github.com/DCMLab/ABC/blob/19bd4d5/data/tsv/op. 127 No. 12/op127_no12_mov1.tsv	ABC	v1.0	op. 127 No. 12	rawdata/ABC/data/tsv/op. 127 No. 12	rawdata/ABC/data/tsv/op. 127 No. 12/op127_no12_mov1.tsv
ABC		op127_no12_mov2.mscx	op127_no12_mov2	mscx			f87e2b8	https://github.com/DCMLab/ABC/blob/f87e2b8/data/mscx/op. 127 No. 12/op127_no12_mov2.mscx	ABC	v1.0	op. 127 No. 12	rawdata/ABC/data/mscx/op. 127 No. 12	rawdata/ABC/data/mscx/op. 127 No. 12/op127_no12_mov2.mscx
ABC		op127_no12_mov2.tsv	op127_no12_mov2	tsv			19bd4d5	https://github.com/DCMLab/ABC/blob/19bd4d5/data/tsv/op. 127 No. 12/op127_no12_mov2.tsv	ABC	v1.0	op. 127 No. 12	rawdata/ABC/data/tsv/op. 127 No. 12	rawdata/ABC/data/tsv/op. 127 No. 12/op127_no12_mov2.tsv
ABC		op127_no12_mov3.mscx	op127_no12_mov3	mscx			71ede6f	https://github.com/DCMLab/ABC/blob/71ede6f/data/mscx/op. 127 No. 12/op127_no12_mov3.mscx	ABC	v1.0	op. 127 No. 12	rawdata/ABC/data/mscx/op. 127 No. 12	rawdata/ABC/data/mscx/op. 127 No. 12/op127_no12_mov3.mscx
ABC		op127_no12_mov3.tsv	op127_no12_mov3	tsv			19bd4d5	https://github.com/DCMLab/ABC/blob/19bd4d5/data/tsv/op. 127 No. 12/op127_no12_mov3.tsv	ABC	v1.0	op. 127 No. 12	rawdata/ABC/data/tsv/op. 127 No. 12	rawdata/ABC/data/tsv/op. 127 No. 12/op127_no12_mov3.tsv
ABC		op127_no12_mov4.mscx	op127_no12_mov4	mscx			610e27a	https://github.com/DCMLab/ABC/blob/610e27a/data/mscx/op. 127 No. 12/op127_no12_mov4.mscx	ABC	v1.0	op. 127 No. 12	rawdata/ABC/data/mscx/op. 127 No. 12	rawdata/ABC/data/mscx/op. 127 No. 12/op127_no12_mov4.mscx
ABC		op127_no12_mov4.tsv	op127_no12_mov4	tsv			19bd4d5	https://github.com/DCMLab/ABC/blob/19bd4d5/data/tsv/op. 127 No. 12/op127_no12_mov4.tsv	ABC	v1.0	op. 127 No. 12	rawdata/ABC/data/tsv/op. 127 No. 12	rawdata/ABC/data/tsv/op. 127 No. 12/op127_no12_mov4.tsv
ABC		op130_no13_mov1.mscx	op130_no13_mov1	mscx			755b5b5	https://github.com/DCMLab/ABC/blob/755b5b5/data/mscx/op. 130 No. 13/op130_no13_mov1.mscx	ABC	v1.0	op. 130 No. 13	rawdata/ABC/data/mscx/op. 130 No. 13	rawdata/ABC/data/mscx/op. 130 No. 13/op130_no13_mov1.mscx
