	s_duration	s_measure	s_notes	s_intervals	s_isOnset	a_measure	a_duration	a_annotationNumber	a_romanNumeral	a_isOnset	a_pitchNames	a_bass	a_root	a_inversion	a_quality	a_pcset	a_localKey	a_tonicizedKey	a_degree1	a_degree2	measureMisalignment	qualityScoreNotes	qualityNonChordTones	qualityMissingChordTones	qualitySquaredSum	incongruentBass
0.0	1.0	1.0	['E-4']	[]	[True]	1.0	2.0	0.0	viio	True	('E-', 'G-', 'C')	E-	C	1.0	diminished triad	(0, 3, 6)	D-	D-	7	None	False	['E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'G-', 'C', 'G-', 'C', 'G-', 'C', 'G-', 'C', 'G-', 'C', 'G-', 'C', 'G-', 'C', 'G-', 'C']	0.0	0.0	0.0	0.5
0.125	1.0	1.0	['E-4']	[]	[False]	1.0	2.0	0.0	viio	False	('E-', 'G-', 'C')	E-	C	1.0	diminished triad	(0, 3, 6)	D-	D-	7	None	False	['E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'G-', 'C', 'G-', 'C', 'G-', 'C', 'G-', 'C', 'G-', 'C', 'G-', 'C', 'G-', 'C', 'G-', 'C']	0.0	0.0	0.0	0.5
0.25	1.0	1.0	['E-4']	[]	[False]	1.0	2.0	0.0	viio	False	('E-', 'G-', 'C')	E-	C	1.0	diminished triad	(0, 3, 6)	D-	D-	7	None	False	['E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'G-', 'C', 'G-', 'C', 'G-', 'C', 'G-', 'C', 'G-', 'C', 'G-', 'C', 'G-', 'C', 'G-', 'C']	0.0	0.0	0.0	0.5
0.375	1.0	1.0	['E-4']	[]	[False]	1.0	2.0	0.0	viio	False	('E-', 'G-', 'C')	E-	C	1.0	diminished triad	(0, 3, 6)	D-	D-	7	None	False	['E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'G-', 'C', 'G-', 'C', 'G-', 'C', 'G-', 'C', 'G-', 'C', 'G-', 'C', 'G-', 'C', 'G-', 'C']	0.0	0.0	0.0	0.5
0.5	1.0	1.0	['E-4']	[]	[False]	1.0	2.0	0.0	viio	False	('E-', 'G-', 'C')	E-	C	1.0	diminished triad	(0, 3, 6)	D-	D-	7	None	False	['E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'G-', 'C', 'G-', 'C', 'G-', 'C', 'G-', 'C', 'G-', 'C', 'G-', 'C', 'G-', 'C', 'G-', 'C']	0.0	0.0	0.0	0.5
0.625	1.0	1.0	['E-4']	[]	[False]	1.0	2.0	0.0	viio	False	('E-', 'G-', 'C')	E-	C	1.0	diminished triad	(0, 3, 6)	D-	D-	7	None	False	['E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'G-', 'C', 'G-', 'C', 'G-', 'C', 'G-', 'C', 'G-', 'C', 'G-', 'C', 'G-', 'C', 'G-', 'C']	0.0	0.0	0.0	0.5
0.75	1.0	1.0	['E-4']	[]	[False]	1.0	2.0	0.0	viio	False	('E-', 'G-', 'C')	E-	C	1.0	diminished triad	(0, 3, 6)	D-	D-	7	None	False	['E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'G-', 'C', 'G-', 'C', 'G-', 'C', 'G-', 'C', 'G-', 'C', 'G-', 'C', 'G-', 'C', 'G-', 'C']	0.0	0.0	0.0	0.5
0.875	1.0	1.0	['E-4']	[]	[False]	1.0	2.0	0.0	viio	False	('E-', 'G-', 'C')	E-	C	1.0	diminished triad	(0, 3, 6)	D-	D-	7	None	False	['E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'G-', 'C', 'G-', 'C', 'G-', 'C', 'G-', 'C', 'G-', 'C', 'G-', 'C', 'G-', 'C', 'G-', 'C']	0.0	0.0	0.0	0.5
1.0	1.0	1.0	['G-4', 'C5']	['A4']	[True, True]	1.0	2.0	0.0	viio	False	('E-', 'G-', 'C')	E-	C	1.0	diminished triad	(0, 3, 6)	D-	D-	7	None	False	['E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'G-', 'C', 'G-', 'C', 'G-', 'C', 'G-', 'C', 'G-', 'C', 'G-', 'C', 'G-', 'C', 'G-', 'C']	0.0	0.0	0.0	0.5
1.125	1.0	1.0	['G-4', 'C5']	['A4']	[False, False]	1.0	2.0	0.0	viio	False	('E-', 'G-', 'C')	E-	C	1.0	diminished triad	(0, 3, 6)	D-	D-	7	None	False	['E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'E-', 'G-', 'C', 'G-', 'C', 'G-', 'C', 'G-', 'C', 'G-', 'C', 'G-', 'C', 'G-', 'C', 'G-', 'C']	0.0	0.0	0.0	0.5
