j_offset	s_duration	s_measure	s_notes	s_intervals	s_isOnset	a_measure	a_duration	a_annotationNumber	a_romanNumeral	a_isOnset	a_pitchNames	a_bass	a_root	a_inversion	a_quality	a_pcset	a_localKey	a_tonicizedKey	a_degree1	a_degree2
0.0	1.0	1	['B-2', 'D-4', 'F4']	['m3', 'P5']	[True, True, True]	1.0	2.0	0.0	i	True	('B-', 'D-', 'F')	B-	B-	0.0	minor triad	(1, 5, 10)	b-	b-	1	None
1.0	0.5	1	['B-3', 'D-4', 'E-4']	['m3', 'P4']	[True, False, True]	1.0	2.0	0.0	i	False	('B-', 'D-', 'F')	B-	B-	0.0	minor triad	(1, 5, 10)	b-	b-	1	None
1.5	0.5	1	['B-3', 'D-4', 'F4']	['m3', 'P5']	[False, False, True]	1.0	2.0	0.0	i	False	('B-', 'D-', 'F')	B-	B-	0.0	minor triad	(1, 5, 10)	b-	b-	1	None
2.0	1.0	1	['B-3', 'D-4', 'G-4']	['m3', 'm6']	[True, False, True]	1.0	2.0	1.0	iv7	True	('E-', 'G-', 'B-', 'D-')	E-	E-	0.0	minor seventh chord	(1, 3, 6, 10)	b-	b-	4	None
3.0	0.5	1	['E-2', 'B-3', 'E-4']	['P5', 'P1']	[True, False, True]	1.0	2.0	1.0	iv7	False	('E-', 'G-', 'B-', 'D-')	E-	E-	0.0	minor seventh chord	(1, 3, 6, 10)	b-	b-	4	None
3.5	0.5	1	['E-2', 'B-3', 'D-4']	['P5', 'm7']	[False, False, True]	1.0	2.0	1.0	iv7	False	('E-', 'G-', 'B-', 'D-')	E-	E-	0.0	minor seventh chord	(1, 3, 6, 10)	b-	b-	4	None
4.0	1.0	2	['A-3', 'B-3', 'C4', 'E-4']	['M2', 'M3', 'P5']	[True, False, True, True]	2.0	2.0	2.0	VII	True	('A-', 'C', 'E-')	A-	A-	0.0	major triad	(0, 3, 8)	b-	b-	7	None
5.0	0.5	2	['A-2', 'B-3', 'C4', 'D-4']	['M2', 'M3', 'P4']	[True, False, False, True]	2.0	2.0	2.0	VII	False	('A-', 'C', 'E-')	A-	A-	0.0	major triad	(0, 3, 8)	b-	b-	7	None
5.5	0.5	2	['A-2', 'B-3', 'C4', 'E-4']	['M2', 'M3', 'P5']	[False, False, False, True]	2.0	2.0	2.0	VII	False	('A-', 'C', 'E-')	A-	A-	0.0	major triad	(0, 3, 8)	b-	b-	7	None
6.0	1.0	2	['A-3', 'C4', 'F4']	['M3', 'M6']	[True, False, True]	2.0	2.0	3.0	III7	True	('D-', 'F', 'A-', 'C')	D-	D-	0.0	major seventh chord	(0, 1, 5, 8)	b-	b-	3	None
