	onset_div	duration_div	j_offset	s_offset_frac	s_duration	s_duration_frac	s_measure	ts_beats	ts_beat_type	measureNumberWithSuffix	continuous_beat	s_note	s_midi	s_isOnset	s_step	s_alter	mn_onset	s_beat_float	s_downbeat	s_part_id	s_voice_id	a_measure	a_duration	a_annotationNumber	a_romanNumeral	a_isOnset	a_pitchNames	a_bass	a_root	a_inversion	a_quality	a_pcset	a_localKey	a_tonicizedKey	a_degree1	a_degree2
0	0	24	0.0	0	0.5	1/2	0	2	4	0	0.0	A4	69	True	A	0	0	1.0	1	Violoncello	1	0.0	0.5	0.0	I	True	('D', 'F#', 'A')	D	D	0.0	major triad	(2, 6, 9)	D	D	1	None
1	24	48	0.5	1/2	1.0	1	1	2	4	1	0.5	F#5	78	True	F	1	0	1.0	1	Violoncello	1	1.0	2.0	1.0	I	True	('D', 'F#', 'A')	D	D	0.0	major triad	(2, 6, 9)	D	D	1	None
2	24	48	0.5	1/2	1.0	1	1	2	4	1	0.5	A4	69	True	A	0	0	1.0	1	Violoncello	1	1.0	2.0	1.0	I	True	('D', 'F#', 'A')	D	D	0.0	major triad	(2, 6, 9)	D	D	1	None
3	24	96	0.5	1/2	2.0	2	1	2	4	1	0.5	A3	57	True	A	0	0	1.0	1	Violoncello	1	1.0	2.0	1.0	I	True	('D', 'F#', 'A')	D	D	0.0	major triad	(2, 6, 9)	D	D	1	None
4	24	96	0.5	1/2	2.0	2	1	2	4	1	0.5	D3	50	True	D	0	0	1.0	1	Violoncello	1	1.0	2.0	1.0	I	True	('D', 'F#', 'A')	D	D	0.0	major triad	(2, 6, 9)	D	D	1	None
5	72	24	1.5	3/2	0.5	1/2	1	2	4	1	1.5	E5	76	True	E	0	1/4	2.0	2	Violoncello	1	1.0	2.0	1.0	I	False	('D', 'F#', 'A')	D	D	0.0	major triad	(2, 6, 9)	D	D	1	None
6	72	24	1.5	3/2	0.5	1/2	1	2	4	1	1.5	G4	67	True	G	0	1/4	2.0	2	Violoncello	1	1.0	2.0	1.0	I	False	('D', 'F#', 'A')	D	D	0.0	major triad	(2, 6, 9)	D	D	1	None
7	96	24	2.0	2	0.5	1/2	1	2	4	1	2.0	D5	74	True	D	0	3/8	2.5	0	Violoncello	1	1.0	2.0	1.0	I	False	('D', 'F#', 'A')	D	D	0.0	major triad	(2, 6, 9)	D	D	1	None
8	96	24	2.0	2	0.5	1/2	1	2	4	1	2.0	F#4	66	True	F	1	3/8	2.5	0	Violoncello	1	1.0	2.0	1.0	I	False	('D', 'F#', 'A')	D	D	0.0	major triad	(2, 6, 9)	D	D	1	None
9	120	24	2.5	5/2	0.5	1/2	2	2	4	2	2.5	C#5	73	True	C	1	0	1.0	1	Violoncello	1	2.0	2.0	2.0	V	True	('A', 'C#', 'E')	A	A	0.0	major triad	(1, 4, 9)	D	D	5	None
10	120	24	2.5	5/2	0.5	1/2	2	2	4	2	2.5	E4	64	True	E	0	0	1.0	1	Violoncello	1	2.0	2.0	2.0	V	True	('A', 'C#', 'E')	A	A	0.0	major triad	(1, 4, 9)	D	D	5	None
11	120	72	2.5	5/2	1.5	3/2	2	2	4	2	2.5	A3	57	False	A	0	0	1.0	1	Violoncello	1	2.0	2.0	2.0	V	True	('A', 'C#', 'E')	A	A	0.0	major triad	(1, 4, 9)	D	D	5	None
12	120	96	2.5	5/2	2.0	2	2	2	4	2	2.5	A2	45	True	A	0	0	1.0	1	Violoncello	1	2.0	2.0	2.0	V	True	('A', 'C#', 'E')	A	A	0.0	major triad	(1, 4, 9)	D	D	5	None
13	144	24	3.0	3	0.5	1/2	2	2	4	2	3.0	B4	71	True	B	0	1/8	1.5	0	Violoncello	1	2.0	2.0	2.0	V	False	('A', 'C#', 'E')	A	A	0.0	major triad	(1, 4, 9)	D	D	5	None
14	144	24	3.0	3	0.5	1/2	2	2	4	2	3.0	D4	62	True	D	0	1/8	1.5	0	Violoncello	1	2.0	2.0	2.0	V	False	('A', 'C#', 'E')	A	A	0.0	major triad	(1, 4, 9)	D	D	5	None
15	168	48	3.5	7/2	1.0	1	2	2	4	2	3.5	A4	69	True	A	0	1/4	2.0	2	Violoncello	1	2.0	2.0	2.0	V	False	('A', 'C#', 'E')	A	A	0.0	major triad	(1, 4, 9)	D	D	5	None
16	168	48	3.5	7/2	1.0	1	2	2	4	2	3.5	C#4	61	True	C	1	1/4	2.0	2	Violoncello	1	2.0	2.0	2.0	V	False	('A', 'C#', 'E')	A	A	0.0	major triad	(1, 4, 9)	D	D	5	None
17	192	12	4.0	4	0.25	1/4	2	2	4	2	4.0	G3	55	True	G	0	3/8	2.5	0	Violoncello	1	2.0	2.0	2.0	V	False	('A', 'C#', 'E')	A	A	0.0	major triad	(1, 4, 9)	D	D	5	None
18	204	12	4.25	17/4	0.25	1/4	2	2	4	2	4.25	F#3	54	True	F	1	7/16	2.75	0	Violoncello	1	2.0	2.0	2.0	V	False	('A', 'C#', 'E')	A	A	0.0	major triad	(1, 4, 9)	D	D	5	None
19	216	24	4.5	9/2	0.5	1/2	3	2	4	3	4.5	A4	69	False	A	0	0	1.0	1	Violoncello	1	3.0	2.0	3.0	V	True	('A', 'C#', 'E')	A	A	0.0	major triad	(1, 4, 9)	D	D	5	None
20	216	24	4.5	9/2	0.5	1/2	3	2	4	3	4.5	C#4	61	False	C	1	0	1.0	1	Violoncello	1	3.0	2.0	3.0	V	True	('A', 'C#', 'E')	A	A	0.0	major triad	(1, 4, 9)	D	D	5	None
21	216	12	4.5	9/2	0.25	1/4	3	2	4	3	4.5	G3	55	True	G	0	0	1.0	1	Violoncello	1	3.0	2.0	3.0	V	True	('A', 'C#', 'E')	A	A	0.0	major triad	(1, 4, 9)	D	D	5	None
22	216	96	4.5	9/2	2.0	2	3	2	4	3	4.5	A2	45	True	A	0	0	1.0	1	Violoncello	1	3.0	2.0	3.0	V	True	('A', 'C#', 'E')	A	A	0.0	major triad	(1, 4, 9)	D	D	5	None
23	228	12	4.75	19/4	0.25	1/4	3	2	4	3	4.75	E3	52	True	E	0	1/16	1.25	0	Violoncello	1	3.0	2.0	3.0	V	False	('A', 'C#', 'E')	A	A	0.0	major triad	(1, 4, 9)	D	D	5	None
24	240	24	5.0	5	0.5	1/2	3	2	4	3	5.0	A4	69	True	A	0	1/8	1.5	0	Violoncello	1	3.0	2.0	3.0	V	False	('A', 'C#', 'E')	A	A	0.0	major triad	(1, 4, 9)	D	D	5	None
25	240	24	5.0	5	0.5	1/2	3	2	4	3	5.0	C#4	61	True	C	1	1/8	1.5	0	Violoncello	1	3.0	2.0	3.0	V	False	('A', 'C#', 'E')	A	A	0.0	major triad	(1, 4, 9)	D	D	5	None
26	240	72	5.0	5	1.5	3/2	3	2	4	3	5.0	A3	57	True	A	0	1/8	1.5	0	Violoncello	1	3.0	2.0	3.0	V	False	('A', 'C#', 'E')	A	A	0.0	major triad	(1, 4, 9)	D	D	5	None
27	264	24	5.5	11/2	0.5	1/2	3	2	4	3	5.5	B4	71	True	B	0	1/4	2.0	2	Violoncello	1	3.0	2.0	3.0	V	False	('A', 'C#', 'E')	A	A	0.0	major triad	(1, 4, 9)	D	D	5	None
28	264	24	5.5	11/2	0.5	1/2	3	2	4	3	5.5	D4	62	True	D	0	1/4	2.0	2	Violoncello	1	3.0	2.0	3.0	V	False	('A', 'C#', 'E')	A	A	0.0	major triad	(1, 4, 9)	D	D	5	None
29	288	24	6.0	6	0.5	1/2	3	2	4	3	6.0	C#5	73	True	C	1	3/8	2.5	0	Violoncello	1	3.0	2.0	3.0	V	False	('A', 'C#', 'E')	A	A	0.0	major triad	(1, 4, 9)	D	D	5	None
30	288	24	6.0	6	0.5	1/2	3	2	4	3	6.0	E4	64	True	E	0	3/8	2.5	0	Violoncello	1	3.0	2.0	3.0	V	False	('A', 'C#', 'E')	A	A	0.0	major triad	(1, 4, 9)	D	D	5	None
31	312	24	6.5	13/2	0.5	1/2	4	2	4	4	6.5	D5	74	True	D	0	0	1.0	1	Violoncello	1	4.0	2.0	4.0	I	True	('D', 'F#', 'A')	D	D	0.0	major triad	(2, 6, 9)	D	D	1	None
32	312	24	6.5	13/2	0.5	1/2	4	2	4	4	6.5	F#4	66	True	F	1	0	1.0	1	Violoncello	1	4.0	2.0	4.0	I	True	('D', 'F#', 'A')	D	D	0.0	major triad	(2, 6, 9)	D	D	1	None
33	312	72	6.5	13/2	1.5	3/2	4	2	4	4	6.5	A3	57	False	A	0	0	1.0	1	Violoncello	1	4.0	2.0	4.0	I	True	('D', 'F#', 'A')	D	D	0.0	major triad	(2, 6, 9)	D	D	1	None
34	312	96	6.5	13/2	2.0	2	4	2	4	4	6.5	D3	50	True	D	0	0	1.0	1	Violoncello	1	4.0	2.0	4.0	I	True	('D', 'F#', 'A')	D	D	0.0	major triad	(2, 6, 9)	D	D	1	None
35	336	24	7.0	7	0.5	1/2	4	2	4	4	7.0	E5	76	True	E	0	1/8	1.5	0	Violoncello	1	4.0	2.0	4.0	I	False	('D', 'F#', 'A')	D	D	0.0	major triad	(2, 6, 9)	D	D	1	None
36	336	24	7.0	7	0.5	1/2	4	2	4	4	7.0	G4	67	True	G	0	1/8	1.5	0	Violoncello	1	4.0	2.0	4.0	I	False	('D', 'F#', 'A')	D	D	0.0	major triad	(2, 6, 9)	D	D	1	None
37	360	48	7.5	15/2	1.0	1	4	2	4	4	7.5	F#5	78	True	F	1	1/4	2.0	2	Violoncello	1	4.0	2.0	4.0	I	False	('D', 'F#', 'A')	D	D	0.0	major triad	(2, 6, 9)	D	D	1	None
38	360	48	7.5	15/2	1.0	1	4	2	4	4	7.5	A4	69	True	A	0	1/4	2.0	2	Violoncello	1	4.0	2.0	4.0	I	False	('D', 'F#', 'A')	D	D	0.0	major triad	(2, 6, 9)	D	D	1	None
39	384	12	8.0	8	0.25	1/4	4	2	4	4	8.0	B3	59	True	B	0	3/8	2.5	0	Violoncello	1	4.0	2.0	4.0	I	False	('D', 'F#', 'A')	D	D	0.0	major triad	(2, 6, 9)	D	D	1	None
40	396	12	8.25	33/4	0.25	1/4	4	2	4	4	8.25	C#4	61	True	C	1	7/16	2.75	0	Violoncello	1	4.0	2.0	4.0	I	False	('D', 'F#', 'A')	D	D	0.0	major triad	(2, 6, 9)	D	D	1	None
41	408	48	8.5	17/2	1.0	1	5	2	4	5	8.5	F#5	78	True	F	1	0	1.0	1	Violoncello	1	5.0	2.0	5.0	I	True	('D', 'F#', 'A')	D	D	0.0	major triad	(2, 6, 9)	D	D	1	None
42	408	48	8.5	17/2	1.0	1	5	2	4	5	8.5	A4	69	True	A	0	0	1.0	1	Violoncello	1	5.0	2.0	5.0	I	True	('D', 'F#', 'A')	D	D	0.0	major triad	(2, 6, 9)	D	D	1	None
43	408	24	8.5	17/2	0.5	1/2	5	2	4	5	8.5	D4	62	True	D	0	0	1.0	1	Violoncello	1	5.0	2.0	5.0	I	True	('D', 'F#', 'A')	D	D	0.0	major triad	(2, 6, 9)	D	D	1	None
44	408	96	8.5	17/2	2.0	2	5	2	4	5	8.5	D3	50	True	D	0	0	1.0	1	Violoncello	1	5.0	2.0	5.0	I	True	('D', 'F#', 'A')	D	D	0.0	major triad	(2, 6, 9)	D	D	1	None
45	432	72	9.0	9	1.5	3/2	5	2	4	5	9.0	A3	57	True	A	0	1/8	1.5	0	Violoncello	1	5.0	2.0	5.0	I	False	('D', 'F#', 'A')	D	D	0.0	major triad	(2, 6, 9)	D	D	1	None
46	456	24	9.5	19/2	0.5	1/2	5	2	4	5	9.5	E5	76	True	E	0	1/4	2.0	2	Violoncello	1	5.0	2.0	5.0	I	False	('D', 'F#', 'A')	D	D	0.0	major triad	(2, 6, 9)	D	D	1	None
47	456	24	9.5	19/2	0.5	1/2	5	2	4	5	9.5	G4	67	True	G	0	1/4	2.0	2	Violoncello	1	5.0	2.0	5.0	I	False	('D', 'F#', 'A')	D	D	0.0	major triad	(2, 6, 9)	D	D	1	None
48	480	24	10.0	10	0.5	1/2	5	2	4	5	10.0	D5	74	True	D	0	3/8	2.5	0	Violoncello	1	5.0	2.0	5.0	I	False	('D', 'F#', 'A')	D	D	0.0	major triad	(2, 6, 9)	D	D	1	None
49	480	24	10.0	10	0.5	1/2	5	2	4	5	10.0	F#4	66	True	F	1	3/8	2.5	0	Violoncello	1	5.0	2.0	5.0	I	False	('D', 'F#', 'A')	D	D	0.0	major triad	(2, 6, 9)	D	D	1	None
50	504	24	10.5	21/2	0.5	1/2	6	2	4	6	10.5	C#5	73	True	C	1	0	1.0	1	Violoncello	1	6.0	2.0	6.0	V	True	('A', 'C#', 'E')	A	A	0.0	major triad	(1, 4, 9)	D	D	5	None
51	504	24	10.5	21/2	0.5	1/2	6	2	4	6	10.5	E4	64	True	E	0	0	1.0	1	Violoncello	1	6.0	2.0	6.0	V	True	('A', 'C#', 'E')	A	A	0.0	major triad	(1, 4, 9)	D	D	5	None
52	504	48	10.5	21/2	1.0	1	6	2	4	6	10.5	A3	57	False	A	0	0	1.0	1	Violoncello	1	6.0	2.0	6.0	V	True	('A', 'C#', 'E')	A	A	0.0	major triad	(1, 4, 9)	D	D	5	None
53	504	96	10.5	21/2	2.0	2	6	2	4	6	10.5	A2	45	True	A	0	0	1.0	1	Violoncello	1	6.0	2.0	6.0	V	True	('A', 'C#', 'E')	A	A	0.0	major triad	(1, 4, 9)	D	D	5	None
54	528	24	11.0	11	0.5	1/2	6	2	4	6	11.0	B4	71	True	B	0	1/8	1.5	0	Violoncello	1	6.0	2.0	6.0	V	False	('A', 'C#', 'E')	A	A	0.0	major triad	(1, 4, 9)	D	D	5	None
55	528	24	11.0	11	0.5	1/2	6	2	4	6	11.0	D4	62	True	D	0	1/8	1.5	0	Violoncello	1	6.0	2.0	6.0	V	False	('A', 'C#', 'E')	A	A	0.0	major triad	(1, 4, 9)	D	D	5	None
56	552	48	11.5	23/2	1.0	1	6	2	4	6	11.5	A4	69	True	A	0	1/4	2.0	2	Violoncello	1	6.0	2.0	6.0	V	False	('A', 'C#', 'E')	A	A	0.0	major triad	(1, 4, 9)	D	D	5	None
57	552	48	11.5	23/2	1.0	1	6	2	4	6	11.5	C#4	61	True	C	1	1/4	2.0	2	Violoncello	1	6.0	2.0	6.0	V	False	('A', 'C#', 'E')	A	A	0.0	major triad	(1, 4, 9)	D	D	5	None
58	552	12	11.5	23/2	0.25	1/4	6	2	4	6	11.5	A3	57	True	A	0	1/4	2.0	2	Violoncello	1	6.0	2.0	6.0	V	False	('A', 'C#', 'E')	A	A	0.0	major triad	(1, 4, 9)	D	D	5	None
59	564	12	11.75	47/4	0.25	1/4	6	2	4	6	11.75	B3	59	True	B	0	5/16	2.25	0	Violoncello	1	6.0	2.0	6.0	V	False	('A', 'C#', 'E')	A	A	0.0	major triad	(1, 4, 9)	D	D	5	None
60	576	12	12.0	12	0.25	1/4	6	2	4	6	12.0	C#4	61	True	C	1	3/8	2.5	0	Violoncello	1	6.0	2.0	6.0	V	False	('A', 'C#', 'E')	A	A	0.0	major triad	(1, 4, 9)	D	D	5	None
61	588	12	12.25	49/4	0.25	1/4	6	2	4	6	12.25	D4	62	True	D	0	7/16	2.75	0	Violoncello	1	6.0	2.0	6.0	V	False	('A', 'C#', 'E')	A	A	0.0	major triad	(1, 4, 9)	D	D	5	None
62	600	24	12.5	25/2	0.5	1/2	7	2	4	7	12.5	A4	69	False	A	0	0	1.0	1	Violoncello	1	7.0	1.0	7.0	Cad	True	('E', 'A', 'C#')	E	A	2.0	major triad	(1, 4, 9)	A	A	1	None
63	600	24	12.5	25/2	0.5	1/2	7	2	4	7	12.5	C#4	61	False	C	1	0	1.0	1	Violoncello	1	7.0	1.0	7.0	Cad	True	('E', 'A', 'C#')	E	A	2.0	major triad	(1, 4, 9)	A	A	1	None
64	600	96	12.5	25/2	2.0	2	7	2	4	7	12.5	E4	64	True	E	0	0	1.0	1	Violoncello	1	7.0	1.0	7.0	Cad	True	('E', 'A', 'C#')	E	A	2.0	major triad	(1, 4, 9)	A	A	1	None
65	600	48	12.5	25/2	1.0	1	7	2	4	7	12.5	E2	40	True	E	0	0	1.0	1	Violoncello	1	7.0	1.0	7.0	Cad	True	('E', 'A', 'C#')	E	A	2.0	major triad	(1, 4, 9)	A	A	1	None
66	624	18	13.0	13	0.375	3/8	7	2	4	7	13.0	G#4	68	True	G	1	1/8	1.5	0	Violoncello	1	7.0	1.0	7.0	Cad	False	('E', 'A', 'C#')	E	A	2.0	major triad	(1, 4, 9)	A	A	1	None
67	624	18	13.0	13	0.375	3/8	7	2	4	7	13.0	B3	59	True	B	0	1/8	1.5	0	Violoncello	1	7.0	1.0	7.0	Cad	False	('E', 'A', 'C#')	E	A	2.0	major triad	(1, 4, 9)	A	A	1	None
68	642	6	13.375	107/8	0.125	1/8	7	2	4	7	13.375	F#4	66	True	F	1	7/32	1.875	0	Violoncello	1	7.0	1.0	7.0	Cad	False	('E', 'A', 'C#')	E	A	2.0	major triad	(1, 4, 9)	A	A	1	None
69	642	6	13.375	107/8	0.125	1/8	7	2	4	7	13.375	A3	57	True	A	0	7/32	1.875	0	Violoncello	1	7.0	1.0	7.0	Cad	False	('E', 'A', 'C#')	E	A	2.0	major triad	(1, 4, 9)	A	A	1	None
70	648	24	13.5	27/2	0.5	1/2	7	2	4	7	13.5	G#4	68	True	G	1	1/4	2.0	2	Violoncello	1	7.0	1.0	8.0	V7	True	('E', 'G#', 'B', 'D')	E	E	0.0	dominant seventh chord	(2, 4, 8, 11)	A	A	5	None
71	648	24	13.5	27/2	0.5	1/2	7	2	4	7	13.5	B3	59	True	B	0	1/4	2.0	2	Violoncello	1	7.0	1.0	8.0	V7	True	('E', 'G#', 'B', 'D')	E	E	0.0	dominant seventh chord	(2, 4, 8, 11)	A	A	5	None
72	648	48	13.5	27/2	1.0	1	7	2	4	7	13.5	E3	52	True	E	0	1/4	2.0	2	Violoncello	1	7.0	1.0	8.0	V7	True	('E', 'G#', 'B', 'D')	E	E	0.0	dominant seventh chord	(2, 4, 8, 11)	A	A	5	None
73	672	24	14.0	14	0.5	1/2	7	2	4	7	14.0	B4	71	True	B	0	3/8	2.5	0	Violoncello	1	7.0	1.0	8.0	V7	False	('E', 'G#', 'B', 'D')	E	E	0.0	dominant seventh chord	(2, 4, 8, 11)	A	A	5	None
74	672	24	14.0	14	0.5	1/2	7	2	4	7	14.0	D4	62	True	D	0	3/8	2.5	0	Violoncello	1	7.0	1.0	8.0	V7	False	('E', 'G#', 'B', 'D')	E	E	0.0	dominant seventh chord	(2, 4, 8, 11)	A	A	5	None
75	696	0	14.5	29/2	0.0	0	8	2	4	8	14.5	E4	64	True	E	0	0	1.0	1	Violoncello	1	8.0	1.0	9.0	I	True	('A', 'C#', 'E')	A	A	0.0	major triad	(1, 4, 9)	A	A	1	None
76	696	48	14.5	29/2	1.0	1	8	2	4	8	14.5	B4	71	True	B	0	0	1.0	1	Violoncello	1	8.0	1.0	9.0	I	True	('A', 'C#', 'E')	A	A	0.0	major triad	(1, 4, 9)	A	A	1	None
77	696	48	14.5	29/2	1.0	1	8	2	4	8	14.5	D4	62	True	D	0	0	1.0	1	Violoncello	1	8.0	1.0	9.0	I	True	('A', 'C#', 'E')	A	A	0.0	major triad	(1, 4, 9)	A	A	1	None
78	696	24	14.5	29/2	0.5	1/2	8	2	4	8	14.5	E4	64	True	E	0	0	1.0	1	Violoncello	1	8.0	1.0	9.0	I	True	('A', 'C#', 'E')	A	A	0.0	major triad	(1, 4, 9)	A	A	1	None
79	696	72	14.5	29/2	1.5	3/2	8	2	4	8	14.5	A2	45	True	A	0	0	1.0	1	Violoncello	1	8.0	1.0	9.0	I	True	('A', 'C#', 'E')	A	A	0.0	major triad	(1, 4, 9)	A	A	1	None
