onset_div	duration_div	j_offset	s_offset_frac	s_duration	s_duration_frac	s_measure	ts_beats	ts_beat_type	measureNumberWithSuffix	continuous_beats	s_note	s_midi	s_isOnset	s_step	s_alter	mn_onset	s_beat_float	s_downbeat	s_part_id	s_voice_id	a_measure	a_duration	a_annotationNumber	a_romanNumeral	a_isOnset	a_pitchNames	a_bass	a_root	a_inversion	a_quality	a_pcset	a_localKey	a_tonicizedKey	a_degree1	a_degree2	a_simpleNumeral
0	2	0.0	0	0.25	1/4	1	3	8	1	0.0	B-2	46	True	B	-1	0	1.0	1	Cello	1	1	1.5	0	I	True	('B-', 'D', 'F')	B-	B-	0	major triad	(2, 5, 10)	B-	B-	1	None	I
2	2	0.25	1/4	0.25	1/4	1	3	8	1	0.5	B-2	46	True	B	-1	1/16	1.5	0	Cello	1	1	1.5	0	I	False	('B-', 'D', 'F')	B-	B-	0	major triad	(2, 5, 10)	B-	B-	1	None	I
4	4	0.5	1/2	0.5	1/2	1	3	8	1	1.0	B-2	46	True	B	-1	1/8	2.0	2	Cello	1	1	1.5	0	I	False	('B-', 'D', 'F')	B-	B-	0	major triad	(2, 5, 10)	B-	B-	1	None	I
8	4	1.0	1	0.5	1/2	1	3	8	1	2.0	B-2	46	True	B	-1	1/4	3.0	3	Cello	1	1	1.5	0	I	False	('B-', 'D', 'F')	B-	B-	0	major triad	(2, 5, 10)	B-	B-	1	None	I
12	2	1.5	3/2	0.25	1/4	2	3	8	2	3.0	B-2	46	True	B	-1	0	1.0	1	Cello	1	2	1.5	1	I	True	('B-', 'D', 'F')	B-	B-	0	major triad	(2, 5, 10)	B-	B-	1	None	I
14	2	1.75	7/4	0.25	1/4	2	3	8	2	3.5	B-2	46	True	B	-1	1/16	1.5	0	Cello	1	2	1.5	1	I	False	('B-', 'D', 'F')	B-	B-	0	major triad	(2, 5, 10)	B-	B-	1	None	I
16	4	2.0	2	0.5	1/2	2	3	8	2	4.0	B-2	46	True	B	-1	1/8	2.0	2	Cello	1	2	1.5	1	I	False	('B-', 'D', 'F')	B-	B-	0	major triad	(2, 5, 10)	B-	B-	1	None	I
20	4	2.5	5/2	0.5	1/2	2	3	8	2	5.0	B-2	46	True	B	-1	1/4	3.0	3	Cello	1	2	1.5	1	I	False	('B-', 'D', 'F')	B-	B-	0	major triad	(2, 5, 10)	B-	B-	1	None	I
24	2	3.0	3	0.25	1/4	3	3	8	3	6.0	B-2	46	True	B	-1	0	1.0	1	Cello	1	3	1.5	2	I	True	('B-', 'D', 'F')	B-	B-	0	major triad	(2, 5, 10)	B-	B-	1	None	I
26	2	3.25	13/4	0.25	1/4	3	3	8	3	6.5	B-2	46	True	B	-1	1/16	1.5	0	Cello	1	3	1.5	2	I	False	('B-', 'D', 'F')	B-	B-	0	major triad	(2, 5, 10)	B-	B-	1	None	I
28	2	3.5	7/2	0.25	1/4	3	3	8	3	7.0	B-2	46	True	B	-1	1/8	2.0	2	Cello	1	3	1.5	2	I	False	('B-', 'D', 'F')	B-	B-	0	major triad	(2, 5, 10)	B-	B-	1	None	I
30	2	3.75	15/4	0.25	1/4	3	3	8	3	7.5	B-2	46	True	B	-1	3/16	2.5	0	Cello	1	3	1.5	2	I	False	('B-', 'D', 'F')	B-	B-	0	major triad	(2, 5, 10)	B-	B-	1	None	I
32	2	4.0	4	0.25	1/4	3	3	8	3	8.0	B-2	46	True	B	-1	1/4	3.0	3	Cello	1	3	1.5	2	I	False	('B-', 'D', 'F')	B-	B-	0	major triad	(2, 5, 10)	B-	B-	1	None	I
34	2	4.25	17/4	0.25	1/4	3	3	8	3	8.5	B-2	46	True	B	-1	5/16	3.5	0	Cello	1	3	1.5	2	I	False	('B-', 'D', 'F')	B-	B-	0	major triad	(2, 5, 10)	B-	B-	1	None	I
