j_offset	s_duration	s_measure	s_notes	s_intervals	s_isOnset	a_measure	a_duration	a_annotationNumber	a_romanNumeral	a_isOnset	a_pitchNames	a_bass	a_root	a_inversion	a_quality	a_pcset	a_localKey	a_tonicizedKey	a_degree1	a_degree2
0.0	1.0	1				1.0	2.0	0.0	i	True	('F', 'A-', 'C')	F	F	0.0	minor triad	(0, 5, 8)	f	f	1	None
1.0	1.0	1	['C4']	[]	[True]	1.0	2.0	0.0	i	False	('F', 'A-', 'C')	F	F	0.0	minor triad	(0, 5, 8)	f	f	1	None
2.0	0.5	2	['F3', 'C4', 'C5']	['P5', 'P5']	[True, False, True]	2.0	1.0	1.0	i	True	('F', 'A-', 'C')	F	F	0.0	minor triad	(0, 5, 8)	f	f	1	None
2.5	0.375	2	['F3', 'C4', 'E-5']	['P5', 'm7']	[False, False, True]	2.0	1.0	1.0	i	False	('F', 'A-', 'C')	F	F	0.0	minor triad	(0, 5, 8)	f	f	1	None
2.875	0.125	2	['F3', 'C4', 'D-5']	['P5', 'm6']	[False, False, True]	2.0	1.0	1.0	i	False	('F', 'A-', 'C')	F	F	0.0	minor triad	(0, 5, 8)	f	f	1	None
3.0	0.5	2	['C3', 'G3', 'C4', 'F4']	['P5', 'P1', 'P4']	[True, True, False, True]	2.0	1.0	2.0	V	True	('C', 'E', 'G')	C	C	0.0	major triad	(0, 4, 7)	f	f	5	None
3.5	0.5	2	['C3', 'G3', 'C4', 'E4']	['P5', 'P1', 'M3']	[False, False, False, True]	2.0	1.0	2.0	V	False	('C', 'E', 'G')	C	C	0.0	major triad	(0, 4, 7)	f	f	5	None
4.0	0.5	3	['C3', 'A-3', 'C4', 'F4']	['m6', 'P1', 'P4']	[False, True, False, True]	3.0	0.5	3.0	I	True	('C', 'F', 'A')	C	F	2.0	major triad	(0, 5, 9)	f	f	1	None
4.5	0.375	3	['C3', 'E3', 'C4', 'C5']	['M3', 'P1', 'P1']	[True, True, True, True]	3.0	0.5	4.0	V	True	('C', 'E', 'G')	C	C	0.0	major triad	(0, 4, 7)	f	f	5	None
4.875	0.125	3	['C3', 'E3', 'C4', 'G4']	['M3', 'P1', 'P5']	[False, False, False, True]	3.0	0.5	4.0	V	False	('C', 'E', 'G')	C	C	0.0	major triad	(0, 4, 7)	f	f	5	None
5.0	0.5	3	['F2', 'G3', 'C4', 'B-4']	['M2', 'P5', 'P4']	[True, True, False, True]	3.0	1.0	5.0	i	True	('F', 'A-', 'C')	F	F	0.0	minor triad	(0, 5, 8)	f	f	1	None
5.5	0.25	3	['F3', 'C4', 'A-4']	['P5', 'm3']	[True, True, True]	3.0	1.0	5.0	i	False	('F', 'A-', 'C')	F	F	0.0	minor triad	(0, 5, 8)	f	f	1	None
5.75	0.25	3	['F3']	[]	[False]	3.0	1.0	5.0	i	False	('F', 'A-', 'C')	F	F	0.0	minor triad	(0, 5, 8)	f	f	1	None
6.0	0.5	4	['F3', 'A-3', 'C5']	['m3', 'P5']	[False, True, True]	4.0	0.875	6.0	i	True	('F', 'A-', 'C')	F	F	0.0	minor triad	(0, 5, 8)	f	f	1	None
