	onset_div	duration_div	j_offset	s_offset_frac	s_duration	s_duration_frac	s_measure	s_note	s_midi	s_isOnset	s_part_id	s_voice_id	a_measure	a_duration	a_annotationNumber	a_romanNumeral	a_isOnset	a_pitchNames	a_bass	a_root	a_inversion	a_quality	a_pcset	a_localKey	a_tonicizedKey	a_degree1	a_degree2
0	0	3	0.0	0	0.25	1/4	1	F4	65	True	Cello	1	1.0	2.5	0.0	i	True	('F', 'A-', 'C')	F	F	0.0	minor triad	(0, 5, 8)	f	f	1	None
1	0	3	0.0	0	0.25	1/4	1	F4	65	True	Cello	1	1.0	2.5	0.0	i	True	('F', 'A-', 'C')	F	F	0.0	minor triad	(0, 5, 8)	f	f	1	None
2	0	3	0.0	0	0.25	1/4	1	F3	53	True	Cello	1	1.0	2.5	0.0	i	True	('F', 'A-', 'C')	F	F	0.0	minor triad	(0, 5, 8)	f	f	1	None
3	0	3	0.0	0	0.25	1/4	1	F2	41	True	Cello	1	1.0	2.5	0.0	i	True	('F', 'A-', 'C')	F	F	0.0	minor triad	(0, 5, 8)	f	f	1	None
4	3	3	0.25	1/4	0.25	1/4	1	G4	67	True	Cello	1	1.0	2.5	0.0	i	False	('F', 'A-', 'C')	F	F	0.0	minor triad	(0, 5, 8)	f	f	1	None
5	3	3	0.25	1/4	0.25	1/4	1	G4	67	True	Cello	1	1.0	2.5	0.0	i	False	('F', 'A-', 'C')	F	F	0.0	minor triad	(0, 5, 8)	f	f	1	None
6	3	3	0.25	1/4	0.25	1/4	1	G3	55	True	Cello	1	1.0	2.5	0.0	i	False	('F', 'A-', 'C')	F	F	0.0	minor triad	(0, 5, 8)	f	f	1	None
7	3	3	0.25	1/4	0.25	1/4	1	G2	43	True	Cello	1	1.0	2.5	0.0	i	False	('F', 'A-', 'C')	F	F	0.0	minor triad	(0, 5, 8)	f	f	1	None
8	6	3	0.5	1/2	0.25	1/4	1	A-4	68	True	Cello	1	1.0	2.5	0.0	i	False	('F', 'A-', 'C')	F	F	0.0	minor triad	(0, 5, 8)	f	f	1	None
9	6	3	0.5	1/2	0.25	1/4	1	A-4	68	True	Cello	1	1.0	2.5	0.0	i	False	('F', 'A-', 'C')	F	F	0.0	minor triad	(0, 5, 8)	f	f	1	None
