j_offset	s_duration	s_measure	s_note	s_midi	s_isOnset	a_measure	a_duration	a_annotationNumber	a_romanNumeral	a_isOnset	a_pitchNames	a_bass	a_root	a_inversion	a_quality	a_pcset	a_localKey	a_tonicizedKey	a_degree1	a_degree2
0.0	1.0	1	A#3	58	True	1.0	2.0	0.0	I	True	('F#', 'A#', 'C#')	F#	F#	0.0	major triad	(1, 6, 10)	F#	F#	1	None
0.0	1.0	1	C#4	61	True	1.0	2.0	0.0	I	True	('F#', 'A#', 'C#')	F#	F#	0.0	major triad	(1, 6, 10)	F#	F#	1	None
0.0	2.0	1	F#1	30	True	1.0	2.0	0.0	I	True	('F#', 'A#', 'C#')	F#	F#	0.0	major triad	(1, 6, 10)	F#	F#	1	None
0.0	2.0	1	F#2	42	True	1.0	2.0	0.0	I	True	('F#', 'A#', 'C#')	F#	F#	0.0	major triad	(1, 6, 10)	F#	F#	1	None
1.0	0.75	1	A#3	58	True	1.0	2.0	0.0	I	False	('F#', 'A#', 'C#')	F#	F#	0.0	major triad	(1, 6, 10)	F#	F#	1	None
1.0	0.75	1	C#4	61	True	1.0	2.0	0.0	I	False	('F#', 'A#', 'C#')	F#	F#	0.0	major triad	(1, 6, 10)	F#	F#	1	None
1.0	0.75	1	F#4	66	True	1.0	2.0	0.0	I	False	('F#', 'A#', 'C#')	F#	F#	0.0	major triad	(1, 6, 10)	F#	F#	1	None
1.75	0.25	1	B3	59	True	1.0	2.0	0.0	I	False	('F#', 'A#', 'C#')	F#	F#	0.0	major triad	(1, 6, 10)	F#	F#	1	None
1.75	0.25	1	E#4	65	True	1.0	2.0	0.0	I	False	('F#', 'A#', 'C#')	F#	F#	0.0	major triad	(1, 6, 10)	F#	F#	1	None
1.75	0.25	1	G#4	68	True	1.0	2.0	0.0	I	False	('F#', 'A#', 'C#')	F#	F#	0.0	major triad	(1, 6, 10)	F#	F#	1	None
2.0	1.0	2	B3	59	True	2.0	1.0	1.0	viio	True	('B', 'E#', 'G#')	B	E#	2.0	diminished triad	(5, 8, 11)	F#	F#	7	None
2.0	1.0	2	E#4	65	True	2.0	1.0	1.0	viio	True	('B', 'E#', 'G#')	B	E#	2.0	diminished triad	(5, 8, 11)	F#	F#	7	None
2.0	1.0	2	G#4	68	True	2.0	1.0	1.0	viio	True	('B', 'E#', 'G#')	B	E#	2.0	diminished triad	(5, 8, 11)	F#	F#	7	None
2.0	2.0	2	F#1	30	True	2.0	1.0	1.0	viio	True	('B', 'E#', 'G#')	B	E#	2.0	diminished triad	(5, 8, 11)	F#	F#	7	None
2.0	2.0	2	F#2	42	True	2.0	1.0	1.0	viio	True	('B', 'E#', 'G#')	B	E#	2.0	diminished triad	(5, 8, 11)	F#	F#	7	None
3.0	0.5	2	C#4	61	True	2.0	0.5	2.0	I	True	('F#', 'A#', 'C#')	F#	F#	0.0	major triad	(1, 6, 10)	F#	F#	1	None
3.0	0.5	2	F#4	66	True	2.0	0.5	2.0	I	True	('F#', 'A#', 'C#')	F#	F#	0.0	major triad	(1, 6, 10)	F#	F#	1	None
3.0	0.5	2	A#4	70	True	2.0	0.5	2.0	I	True	('F#', 'A#', 'C#')	F#	F#	0.0	major triad	(1, 6, 10)	F#	F#	1	None
3.5	0.5	2	C#4	61	True	2.0	0.5	3.0	V7/IV	True	('F#', 'A#', 'C#', 'E')	F#	F#	0.0	dominant seventh chord	(1, 4, 6, 10)	F#	B	5	4
