j_offset	s_duration	s_measure	s_notes	s_intervals	s_isOnset	a_measure	a_duration	a_annotationNumber	a_romanNumeral	a_isOnset	a_pitchNames	a_bass	a_root	a_inversion	a_quality	a_pcset	a_localKey	a_tonicizedKey	a_degree1	a_degree2
0.0	0.125	0	['E-3', 'E-4']	['P1']	[True, True]	0.0	0.125	0.0	viio7/V	True	('F#', 'A', 'C', 'E-')	F#	F#	0.0	diminished seventh chord	(0, 3, 6, 9)	c	G	7	5
0.125	0.5	1	['F#2', 'F#3']	['P1']	[True, True]	1.0	4.0	1.0	viio7/V	True	('F#', 'A', 'C', 'E-')	F#	F#	0.0	diminished seventh chord	(0, 3, 6, 9)	c	G	7	5
0.625	0.375	1	['F#2', 'F#3']	['P1']	[False, False]	1.0	4.0	1.0	viio7/V	False	('F#', 'A', 'C', 'E-')	F#	F#	0.0	diminished seventh chord	(0, 3, 6, 9)	c	G	7	5
1.0	0.125	1	['F#1', 'F#2', 'E-4', 'A4', 'C5', 'E-5']	['P1', 'd7', 'm3', 'd5', 'd7']	[True, True, True, True, True, True]	1.0	4.0	1.0	viio7/V	False	('F#', 'A', 'C', 'E-')	F#	F#	0.0	diminished seventh chord	(0, 3, 6, 9)	c	G	7	5
1.125	1.0	1	['F#2', 'F#3', 'E-4', 'A4', 'C5', 'E-5']	['P1', 'd7', 'm3', 'd5', 'd7']	[True, True, True, True, True, True]	1.0	4.0	1.0	viio7/V	False	('F#', 'A', 'C', 'E-')	F#	F#	0.0	diminished seventh chord	(0, 3, 6, 9)	c	G	7	5
2.125	0.875	1	['F#2', 'F#3', 'E-4', 'A4', 'C5', 'E-5']	['P1', 'd7', 'm3', 'd5', 'd7']	[False, False, False, False, False, False]	1.0	4.0	1.0	viio7/V	False	('F#', 'A', 'C', 'E-')	F#	F#	0.0	diminished seventh chord	(0, 3, 6, 9)	c	G	7	5
3.0	0.125	1	['F#3', 'E-4', 'A4', 'C5']	['d7', 'm3', 'd5']	[True, True, True, True]	1.0	4.0	1.0	viio7/V	False	('F#', 'A', 'C', 'E-')	F#	F#	0.0	diminished seventh chord	(0, 3, 6, 9)	c	G	7	5
3.125	0.75	1	['F#3', 'E-4', 'A4', 'C5']	['d7', 'm3', 'd5']	[True, True, True, True]	1.0	4.0	1.0	viio7/V	False	('F#', 'A', 'C', 'E-')	F#	F#	0.0	diminished seventh chord	(0, 3, 6, 9)	c	G	7	5
3.875	0.125	1	['F#3', 'E-4', 'A4', 'B4']	['d7', 'm3', 'P4']	[False, False, False, True]	1.0	4.0	1.0	viio7/V	False	('F#', 'A', 'C', 'E-')	F#	F#	0.0	diminished seventh chord	(0, 3, 6, 9)	c	G	7	5
4.0	0.125	1	['F#3', 'E-4', 'A4', 'C5']	['d7', 'm3', 'd5']	[False, False, False, True]	1.0	4.0	1.0	viio7/V	False	('F#', 'A', 'C', 'E-')	F#	F#	0.0	diminished seventh chord	(0, 3, 6, 9)	c	G	7	5
4.125	0.5	2	['G3', 'D4', 'G4', 'B4']	['P5', 'P1', 'M3']	[True, True, True, True]	2.0	1.0	2.0	V	True	('G', 'B', 'D')	G	G	0.0	major triad	(2, 7, 11)	c	c	5	None
4.625	0.5	2	['G3', 'D4', 'G4', 'B4']	['P5', 'P1', 'M3']	[True, True, True, True]	2.0	1.0	2.0	V	False	('G', 'B', 'D')	G	G	0.0	major triad	(2, 7, 11)	c	c	5	None
5.125	0.5	2	['C3', 'G3', 'C4', 'E-4', 'G4', 'C5']	['P5', 'P1', 'm3', 'P5', 'P1']	[True, True, True, True, True, True]	2.0	1.0	3.0	i	True	('C', 'E-', 'G')	C	C	0.0	minor triad	(0, 3, 7)	c	c	1	None
5.625	0.5	2	['C3', 'G3', 'C4', 'E-4', 'G4', 'C5']	['P5', 'P1', 'm3', 'P5', 'P1']	[True, True, True, True, True, True]	2.0	1.0	3.0	i	False	('C', 'E-', 'G')	C	C	0.0	minor triad	(0, 3, 7)	c	c	1	None
6.125	0.5	2	['B1', 'B2', 'D4', 'G4', 'D5']	['P1', 'm3', 'm6', 'm3']	[True, True, True, True, True]	2.0	2.0	4.0	V	True	('B', 'D', 'G')	B	G	1.0	major triad	(2, 7, 11)	c	c	5	None
