	onset_div	duration_div	j_offset	s_offset_frac	s_duration	s_duration_frac	s_measure	ts_beats	ts_beat_type	measureNumberWithSuffix	continuous_beat	s_note	s_midi	s_isOnset	s_step	s_alter	mn_onset	s_beat_float	s_downbeat	s_part_id	s_voice_id	a_measure	a_duration	a_annotationNumber	a_romanNumeral	a_isOnset	a_pitchNames	a_bass	a_root	a_inversion	a_quality	a_pcset	a_localKey	a_tonicizedKey	a_degree1	a_degree2
0	0.0	24.0	0.0	0	1.0	1	1.0	2	4	1	0.0	E4	64.0	True	E	0.0	0	1.0	1.0	P1-Staff2	1	1.0	2.0	0.0	I	True	('A', 'C#', 'E')	A	A	0.0	major triad	(1, 4, 9)	A	A	1	None
1	0.0	24.0	0.0	0	1.0	1	1.0	2	4	1	0.0	C#5	73.0	True	C	1.0	0	1.0	1.0	P1-Staff2	1	1.0	2.0	0.0	I	True	('A', 'C#', 'E')	A	A	0.0	major triad	(1, 4, 9)	A	A	1	None
2	0.0	12.0	0.0	0	0.5	1/2	1.0	2	4	1	0.0	A2	45.0	True	A	0.0	0	1.0	1.0	P1-Staff2	1	1.0	2.0	0.0	I	True	('A', 'C#', 'E')	A	A	0.0	major triad	(1, 4, 9)	A	A	1	None
3	12.0	12.0	0.5	1/2	0.5	1/2	1.0	2	4	1	0.5	A3	57.0	True	A	0.0	1/8	1.5	0.0	P1-Staff2	1	1.0	2.0	0.0	I	False	('A', 'C#', 'E')	A	A	0.0	major triad	(1, 4, 9)	A	A	1	None
4	24.0	24.0	1.0	1	1.0	1	1.0	2	4	1	1.0	E4	64.0	True	E	0.0	1/4	2.0	2.0	P1-Staff2	1	1.0	2.0	0.0	I	False	('A', 'C#', 'E')	A	A	0.0	major triad	(1, 4, 9)	A	A	1	None
5	24.0	24.0	1.0	1	1.0	1	1.0	2	4	1	1.0	C#5	73.0	True	C	1.0	1/4	2.0	2.0	P1-Staff2	1	1.0	2.0	0.0	I	False	('A', 'C#', 'E')	A	A	0.0	major triad	(1, 4, 9)	A	A	1	None
6	24.0	12.0	1.0	1	0.5	1/2	1.0	2	4	1	1.0	A2	45.0	True	A	0.0	1/4	2.0	2.0	P1-Staff2	1	1.0	2.0	0.0	I	False	('A', 'C#', 'E')	A	A	0.0	major triad	(1, 4, 9)	A	A	1	None
7	36.0	12.0	1.5	3/2	0.5	1/2	1.0	2	4	1	1.5	A3	57.0	True	A	0.0	3/8	2.5	0.0	P1-Staff2	1	1.0	2.0	0.0	I	False	('A', 'C#', 'E')	A	A	0.0	major triad	(1, 4, 9)	A	A	1	None
8	48.0	12.0	2.0	2	0.5	1/2	2.0	2	4	2	2.0	E4	64.0	True	E	0.0	0	1.0	1.0	P1-Staff2	1	2.0	2.0	1.0	I	True	('A', 'C#', 'E')	A	A	0.0	major triad	(1, 4, 9)	A	A	1	None
9	48.0	12.0	2.0	2	0.5	1/2	2.0	2	4	2	2.0	C#5	73.0	True	C	1.0	0	1.0	1.0	P1-Staff2	1	2.0	2.0	1.0	I	True	('A', 'C#', 'E')	A	A	0.0	major triad	(1, 4, 9)	A	A	1	None
10	48.0	12.0	2.0	2	0.5	1/2	2.0	2	4	2	2.0	A2	45.0	True	A	0.0	0	1.0	1.0	P1-Staff2	1	2.0	2.0	1.0	I	True	('A', 'C#', 'E')	A	A	0.0	major triad	(1, 4, 9)	A	A	1	None
11	60.0	12.0	2.5	5/2	0.5	1/2	2.0	2	4	2	2.5	A3	57.0	True	A	0.0	1/8	1.5	0.0	P1-Staff2	1	2.0	2.0	1.0	I	False	('A', 'C#', 'E')	A	A	0.0	major triad	(1, 4, 9)	A	A	1	None
12	60.0	12.0	2.5	5/2	0.5	1/2	2.0	2	4	2	2.5	D4	62.0	True	D	0.0	1/8	1.5	0.0	P1-Staff2	1	2.0	2.0	1.0	I	False	('A', 'C#', 'E')	A	A	0.0	major triad	(1, 4, 9)	A	A	1	None
13	60.0	12.0	2.5	5/2	0.5	1/2	2.0	2	4	2	2.5	B4	71.0	True	B	0.0	1/8	1.5	0.0	P1-Staff2	1	2.0	2.0	1.0	I	False	('A', 'C#', 'E')	A	A	0.0	major triad	(1, 4, 9)	A	A	1	None
14	72.0	24.0	3.0	3	1.0	1	2.0	2	4	2	3.0	C#4	61.0	True	C	1.0	1/4	2.0	2.0	P1-Staff2	1	2.0	2.0	1.0	I	False	('A', 'C#', 'E')	A	A	0.0	major triad	(1, 4, 9)	A	A	1	None
15	72.0	24.0	3.0	3	1.0	1	2.0	2	4	2	3.0	A4	69.0	True	A	0.0	1/4	2.0	2.0	P1-Staff2	1	2.0	2.0	1.0	I	False	('A', 'C#', 'E')	A	A	0.0	major triad	(1, 4, 9)	A	A	1	None
16	72.0	12.0	3.0	3	0.5	1/2	2.0	2	4	2	3.0	A2	45.0	True	A	0.0	1/4	2.0	2.0	P1-Staff2	1	2.0	2.0	1.0	I	False	('A', 'C#', 'E')	A	A	0.0	major triad	(1, 4, 9)	A	A	1	None
17	84.0	12.0	3.5	7/2	0.5	1/2	2.0	2	4	2	3.5	A3	57.0	True	A	0.0	3/8	2.5	0.0	P1-Staff2	1	2.0	2.0	1.0	I	False	('A', 'C#', 'E')	A	A	0.0	major triad	(1, 4, 9)	A	A	1	None
18	96.0	24.0	4.0	4	1.0	1	3.0	2	4	3	4.0	C#5	73.0	True	C	1.0	0	1.0	1.0	P1-Staff2	1	3.0	2.0	2.0	I	True	('A', 'C#', 'E')	A	A	0.0	major triad	(1, 4, 9)	A	A	1	None
19	96.0	24.0	4.0	4	1.0	1	3.0	2	4	3	4.0	E5	76.0	True	E	0.0	0	1.0	1.0	P1-Staff2	1	3.0	2.0	2.0	I	True	('A', 'C#', 'E')	A	A	0.0	major triad	(1, 4, 9)	A	A	1	None
20	96.0	12.0	4.0	4	0.5	1/2	3.0	2	4	3	4.0	A2	45.0	True	A	0.0	0	1.0	1.0	P1-Staff2	1	3.0	2.0	2.0	I	True	('A', 'C#', 'E')	A	A	0.0	major triad	(1, 4, 9)	A	A	1	None
21	108.0	12.0	4.5	9/2	0.5	1/2	3.0	2	4	3	4.5	A3	57.0	True	A	0.0	1/8	1.5	0.0	P1-Staff2	1	3.0	2.0	2.0	I	False	('A', 'C#', 'E')	A	A	0.0	major triad	(1, 4, 9)	A	A	1	None
22	120.0	12.0	5.0	5	0.5	1/2	3.0	2	4	3	5.0	A2	45.0	True	A	0.0	1/4	2.0	2.0	P1-Staff2	1	3.0	2.0	2.0	I	False	('A', 'C#', 'E')	A	A	0.0	major triad	(1, 4, 9)	A	A	1	None
23	120.0	24.0	5.0	5	1.0	1	3.0	2	4	3	5.0	C#5	73.0	True	C	1.0	1/4	2.0	2.0	P1-Staff2	1	3.0	2.0	2.0	I	False	('A', 'C#', 'E')	A	A	0.0	major triad	(1, 4, 9)	A	A	1	None
24	120.0	24.0	5.0	5	1.0	1	3.0	2	4	3	5.0	E5	76.0	True	E	0.0	1/4	2.0	2.0	P1-Staff2	1	3.0	2.0	2.0	I	False	('A', 'C#', 'E')	A	A	0.0	major triad	(1, 4, 9)	A	A	1	None
25	132.0	12.0	5.5	11/2	0.5	1/2	3.0	2	4	3	5.5	A3	57.0	True	A	0.0	3/8	2.5	0.0	P1-Staff2	1	3.0	2.0	2.0	I	False	('A', 'C#', 'E')	A	A	0.0	major triad	(1, 4, 9)	A	A	1	None
26	144.0	12.0	6.0	6	0.5	1/2	4.0	2	4	4	6.0	C#5	73.0	True	C	1.0	0	1.0	1.0	P1-Staff2	1	4.0	2.0	3.0	I	True	('A', 'C#', 'E')	A	A	0.0	major triad	(1, 4, 9)	A	A	1	None
27	144.0	12.0	6.0	6	0.5	1/2	4.0	2	4	4	6.0	E5	76.0	True	E	0.0	0	1.0	1.0	P1-Staff2	1	4.0	2.0	3.0	I	True	('A', 'C#', 'E')	A	A	0.0	major triad	(1, 4, 9)	A	A	1	None
28	144.0	12.0	6.0	6	0.5	1/2	4.0	2	4	4	6.0	A2	45.0	True	A	0.0	0	1.0	1.0	P1-Staff2	1	4.0	2.0	3.0	I	True	('A', 'C#', 'E')	A	A	0.0	major triad	(1, 4, 9)	A	A	1	None
29	156.0	12.0	6.5	13/2	0.5	1/2	4.0	2	4	4	6.5	B4	71.0	True	B	0.0	1/8	1.5	0.0	P1-Staff2	1	4.0	2.0	3.0	I	False	('A', 'C#', 'E')	A	A	0.0	major triad	(1, 4, 9)	A	A	1	None
30	156.0	12.0	6.5	13/2	0.5	1/2	4.0	2	4	4	6.5	D5	74.0	True	D	0.0	1/8	1.5	0.0	P1-Staff2	1	4.0	2.0	3.0	I	False	('A', 'C#', 'E')	A	A	0.0	major triad	(1, 4, 9)	A	A	1	None
31	156.0	12.0	6.5	13/2	0.5	1/2	4.0	2	4	4	6.5	A3	57.0	True	A	0.0	1/8	1.5	0.0	P1-Staff2	1	4.0	2.0	3.0	I	False	('A', 'C#', 'E')	A	A	0.0	major triad	(1, 4, 9)	A	A	1	None
32	168.0	12.0	7.0	7	0.5	1/2	4.0	2	4	4	7.0	A2	45.0	True	A	0.0	1/4	2.0	2.0	P1-Staff2	1	4.0	2.0	3.0	I	False	('A', 'C#', 'E')	A	A	0.0	major triad	(1, 4, 9)	A	A	1	None
33	168.0	24.0	7.0	7	1.0	1	4.0	2	4	4	7.0	C#5	73.0	True	C	1.0	1/4	2.0	2.0	P1-Staff2	1	4.0	2.0	3.0	I	False	('A', 'C#', 'E')	A	A	0.0	major triad	(1, 4, 9)	A	A	1	None
34	168.0	24.0	7.0	7	1.0	1	4.0	2	4	4	7.0	A4	69.0	True	A	0.0	1/4	2.0	2.0	P1-Staff2	1	4.0	2.0	3.0	I	False	('A', 'C#', 'E')	A	A	0.0	major triad	(1, 4, 9)	A	A	1	None
35	180.0	12.0	7.5	15/2	0.5	1/2	4.0	2	4	4	7.5	A3	57.0	True	A	0.0	3/8	2.5	0.0	P1-Staff2	1	4.0	2.0	3.0	I	False	('A', 'C#', 'E')	A	A	0.0	major triad	(1, 4, 9)	A	A	1	None
36	192.0	12.0	8.0	8	0.5	1/2	5.0	2	4	5	8.0	G#4	68.0	True	G	1.0	0	1.0	1.0	P1-Staff2	1	5.0	1.0	4.0	V7	True	('D', 'E', 'G#', 'B')	D	E	3.0	dominant seventh chord	(2, 4, 8, 11)	A	A	5	None
37	192.0	12.0	8.0	8	0.5	1/2	5.0	2	4	5	8.0	C#5	73.0	True	C	1.0	0	1.0	1.0	P1-Staff2	1	5.0	1.0	4.0	V7	True	('D', 'E', 'G#', 'B')	D	E	3.0	dominant seventh chord	(2, 4, 8, 11)	A	A	5	None
38	192.0	12.0	8.0	8	0.5	1/2	5.0	2	4	5	8.0	D3	50.0	True	D	0.0	0	1.0	1.0	P1-Staff2	1	5.0	1.0	4.0	V7	True	('D', 'E', 'G#', 'B')	D	E	3.0	dominant seventh chord	(2, 4, 8, 11)	A	A	5	None
39	204.0	12.0	8.5	17/2	0.5	1/2	5.0	2	4	5	8.5	B4	71.0	True	B	0.0	1/8	1.5	0.0	P1-Staff2	1	5.0	1.0	4.0	V7	False	('D', 'E', 'G#', 'B')	D	E	3.0	dominant seventh chord	(2, 4, 8, 11)	A	A	5	None
40	204.0	12.0	8.5	17/2	0.5	1/2	5.0	2	4	5	8.5	E3	52.0	True	E	0.0	1/8	1.5	0.0	P1-Staff2	1	5.0	1.0	4.0	V7	False	('D', 'E', 'G#', 'B')	D	E	3.0	dominant seventh chord	(2, 4, 8, 11)	A	A	5	None
41	216.0	24.0	9.0	9	1.0	1	5.0	2	4	5	9.0	A4	69.0	True	A	0.0	1/4	2.0	2.0	P1-Staff2	1	5.0	1.0	5.0	I	True	('C#', 'E', 'A')	C#	A	1.0	major triad	(1, 4, 9)	A	A	1	None
42	216.0	12.0	9.0	9	0.5	1/2	5.0	2	4	5	9.0	C#3	49.0	True	C	1.0	1/4	2.0	2.0	P1-Staff2	1	5.0	1.0	5.0	I	True	('C#', 'E', 'A')	C#	A	1.0	major triad	(1, 4, 9)	A	A	1	None
43	228.0	12.0	9.5	19/2	0.5	1/2	5.0	2	4	5	9.5	E3	52.0	True	E	0.0	3/8	2.5	0.0	P1-Staff2	1	5.0	1.0	5.0	I	False	('C#', 'E', 'A')	C#	A	1.0	major triad	(1, 4, 9)	A	A	1	None
44	240.0	12.0	10.0	10	0.5	1/2	6.0	2	4	6	10.0	D3	50.0	True	D	0.0	0	1.0	1.0	P1-Staff2	1	6.0	1.0	6.0	V7	True	('D', 'E', 'G#', 'B')	D	E	3.0	dominant seventh chord	(2, 4, 8, 11)	A	A	5	None
45	240.0	12.0	10.0	10	0.5	1/2	6.0	2	4	6	10.0	G#4	68.0	True	G	1.0	0	1.0	1.0	P1-Staff2	1	6.0	1.0	6.0	V7	True	('D', 'E', 'G#', 'B')	D	E	3.0	dominant seventh chord	(2, 4, 8, 11)	A	A	5	None
46	240.0	12.0	10.0	10	0.5	1/2	6.0	2	4	6	10.0	C#5	73.0	True	C	1.0	0	1.0	1.0	P1-Staff2	1	6.0	1.0	6.0	V7	True	('D', 'E', 'G#', 'B')	D	E	3.0	dominant seventh chord	(2, 4, 8, 11)	A	A	5	None
47	252.0	12.0	10.5	21/2	0.5	1/2	6.0	2	4	6	10.5	B4	71.0	True	B	0.0	1/8	1.5	0.0	P1-Staff2	1	6.0	1.0	6.0	V7	False	('D', 'E', 'G#', 'B')	D	E	3.0	dominant seventh chord	(2, 4, 8, 11)	A	A	5	None
48	252.0	12.0	10.5	21/2	0.5	1/2	6.0	2	4	6	10.5	E3	52.0	True	E	0.0	1/8	1.5	0.0	P1-Staff2	1	6.0	1.0	6.0	V7	False	('D', 'E', 'G#', 'B')	D	E	3.0	dominant seventh chord	(2, 4, 8, 11)	A	A	5	None
