j_offset	s_duration	s_measure	s_note	s_midi	s_isOnset	a_measure	a_duration	a_annotationNumber	a_romanNumeral	a_isOnset	a_pitchNames	a_bass	a_root	a_inversion	a_quality	a_pcset	a_localKey	a_tonicizedKey	a_degree1	a_degree2
0.0	0.5	1.0	F4	65.0	True	1.0	1.5	0.0	I	True	('F', 'A', 'C')	F	F	0.0	major triad	(0, 5, 9)	F	F	1	None
0.0	0.5	1.0	F3	53.0	True	1.0	1.5	0.0	I	True	('F', 'A', 'C')	F	F	0.0	major triad	(0, 5, 9)	F	F	1	None
0.0	0.5	1.0	A3	57.0	True	1.0	1.5	0.0	I	True	('F', 'A', 'C')	F	F	0.0	major triad	(0, 5, 9)	F	F	1	None
0.0	0.5	1.0	C4	60.0	True	1.0	1.5	0.0	I	True	('F', 'A', 'C')	F	F	0.0	major triad	(0, 5, 9)	F	F	1	None
0.5	0.5	1.0	A4	69.0	True	1.0	1.5	0.0	I	False	('F', 'A', 'C')	F	F	0.0	major triad	(0, 5, 9)	F	F	1	None
1.0	0.5	1.0	F4	65.0	True	1.0	1.5	0.0	I	False	('F', 'A', 'C')	F	F	0.0	major triad	(0, 5, 9)	F	F	1	None
1.0	0.5	1.0	F3	53.0	True	1.0	1.5	0.0	I	False	('F', 'A', 'C')	F	F	0.0	major triad	(0, 5, 9)	F	F	1	None
1.0	0.5	1.0	A3	57.0	True	1.0	1.5	0.0	I	False	('F', 'A', 'C')	F	F	0.0	major triad	(0, 5, 9)	F	F	1	None
1.0	0.5	1.0	C4	60.0	True	1.0	1.5	0.0	I	False	('F', 'A', 'C')	F	F	0.0	major triad	(0, 5, 9)	F	F	1	None
1.5	0.5	2.0	C4	60.0	True	2.0	1.5	1.0	V	True	('C', 'E', 'G')	C	C	0.0	major triad	(0, 4, 7)	F	F	5	None
1.5	0.5	2.0	E3	52.0	True	2.0	1.5	1.0	V	True	('C', 'E', 'G')	C	C	0.0	major triad	(0, 4, 7)	F	F	5	None
1.5	0.5	2.0	G3	55.0	True	2.0	1.5	1.0	V	True	('C', 'E', 'G')	C	C	0.0	major triad	(0, 4, 7)	F	F	5	None
1.5	0.25	2.0	C5	72.0	True	2.0	1.5	1.0	V	True	('C', 'E', 'G')	C	C	0.0	major triad	(0, 4, 7)	F	F	5	None
1.5	0.5	2.0	C3	48.0	True	2.0	1.5	1.0	V	True	('C', 'E', 'G')	C	C	0.0	major triad	(0, 4, 7)	F	F	5	None
1.75	0.25	2.0	B4	71.0	True	2.0	1.5	1.0	V	False	('C', 'E', 'G')	C	C	0.0	major triad	(0, 4, 7)	F	F	5	None
2.0	0.25	2.0	C5	72.0	True	2.0	1.5	1.0	V	False	('C', 'E', 'G')	C	C	0.0	major triad	(0, 4, 7)	F	F	5	None
2.25	0.25	2.0	D5	74.0	True	2.0	1.5	1.0	V	False	('C', 'E', 'G')	C	C	0.0	major triad	(0, 4, 7)	F	F	5	None
2.5	0.5	2.0	C5	72.0	True	2.0	1.5	1.0	V	False	('C', 'E', 'G')	C	C	0.0	major triad	(0, 4, 7)	F	F	5	None
3.0	0.5	3.0	B-4	70.0	True	3.0	1.5	2.0	V7	True	('C', 'E', 'G', 'B-')	C	C	0.0	dominant seventh chord	(0, 4, 7, 10)	F	F	5	None
3.0	0.5	3.0	C3	48.0	True	3.0	1.5	2.0	V7	True	('C', 'E', 'G', 'B-')	C	C	0.0	dominant seventh chord	(0, 4, 7, 10)	F	F	5	None
3.0	0.5	3.0	E3	52.0	True	3.0	1.5	2.0	V7	True	('C', 'E', 'G', 'B-')	C	C	0.0	dominant seventh chord	(0, 4, 7, 10)	F	F	5	None
3.0	0.5	3.0	G3	55.0	True	3.0	1.5	2.0	V7	True	('C', 'E', 'G', 'B-')	C	C	0.0	dominant seventh chord	(0, 4, 7, 10)	F	F	5	None
3.0	0.5	3.0	C4	60.0	True	3.0	1.5	2.0	V7	True	('C', 'E', 'G', 'B-')	C	C	0.0	dominant seventh chord	(0, 4, 7, 10)	F	F	5	None
3.5	0.5	3.0	G4	67.0	True	3.0	1.5	2.0	V7	False	('C', 'E', 'G', 'B-')	C	C	0.0	dominant seventh chord	(0, 4, 7, 10)	F	F	5	None
4.0	0.5	3.0	C4	60.0	True	3.0	1.5	2.0	V7	False	('C', 'E', 'G', 'B-')	C	C	0.0	dominant seventh chord	(0, 4, 7, 10)	F	F	5	None
4.0	0.5	3.0	G3	55.0	True	3.0	1.5	2.0	V7	False	('C', 'E', 'G', 'B-')	C	C	0.0	dominant seventh chord	(0, 4, 7, 10)	F	F	5	None
4.0	0.5	3.0	C5	72.0	True	3.0	1.5	2.0	V7	False	('C', 'E', 'G', 'B-')	C	C	0.0	dominant seventh chord	(0, 4, 7, 10)	F	F	5	None
4.0	0.5	3.0	C3	48.0	True	3.0	1.5	2.0	V7	False	('C', 'E', 'G', 'B-')	C	C	0.0	dominant seventh chord	(0, 4, 7, 10)	F	F	5	None
4.0	0.5	3.0	E3	52.0	True	3.0	1.5	2.0	V7	False	('C', 'E', 'G', 'B-')	C	C	0.0	dominant seventh chord	(0, 4, 7, 10)	F	F	5	None
4.5	0.5	4.0	A4	69.0	True	4.0	1.5	3.0	I	True	('F', 'A', 'C')	F	F	0.0	major triad	(0, 5, 9)	F	F	1	None
4.5	0.5	4.0	F3	53.0	True	4.0	1.5	3.0	I	True	('F', 'A', 'C')	F	F	0.0	major triad	(0, 5, 9)	F	F	1	None
4.5	0.5	4.0	A3	57.0	True	4.0	1.5	3.0	I	True	('F', 'A', 'C')	F	F	0.0	major triad	(0, 5, 9)	F	F	1	None
4.5	0.5	4.0	C4	60.0	True	4.0	1.5	3.0	I	True	('F', 'A', 'C')	F	F	0.0	major triad	(0, 5, 9)	F	F	1	None
5.0	0.25	4.0	G4	67.0	True	4.0	1.5	3.0	I	False	('F', 'A', 'C')	F	F	0.0	major triad	(0, 5, 9)	F	F	1	None
5.25	0.25	4.0	A4	69.0	True	4.0	1.5	3.0	I	False	('F', 'A', 'C')	F	F	0.0	major triad	(0, 5, 9)	F	F	1	None
5.5	0.5	4.0	F4	65.0	True	4.0	1.5	3.0	I	False	('F', 'A', 'C')	F	F	0.0	major triad	(0, 5, 9)	F	F	1	None
6.0	0.5	5.0	C4	60.0	True	5.0	1.5	4.0	IV/V	True	('F', 'A', 'C')	F	F	0.0	major triad	(0, 5, 9)	F	C	4	5
6.0	0.5	5.0	A3	57.0	True	5.0	1.5	4.0	IV/V	True	('F', 'A', 'C')	F	F	0.0	major triad	(0, 5, 9)	F	C	4	5
6.0	0.5	5.0	F4	65.0	True	5.0	1.5	4.0	IV/V	True	('F', 'A', 'C')	F	F	0.0	major triad	(0, 5, 9)	F	C	4	5
6.0	0.5	5.0	F3	53.0	True	5.0	1.5	4.0	IV/V	True	('F', 'A', 'C')	F	F	0.0	major triad	(0, 5, 9)	F	C	4	5
6.5	0.5	5.0	A4	69.0	True	5.0	1.5	4.0	IV/V	False	('F', 'A', 'C')	F	F	0.0	major triad	(0, 5, 9)	F	C	4	5
7.0	0.5	5.0	B4	71.0	True	5.0	1.5	4.0	IV/V	False	('F', 'A', 'C')	F	F	0.0	major triad	(0, 5, 9)	F	C	4	5
7.0	0.5	5.0	F3	53.0	True	5.0	1.5	4.0	IV/V	False	('F', 'A', 'C')	F	F	0.0	major triad	(0, 5, 9)	F	C	4	5
7.0	0.5	5.0	A3	57.0	True	5.0	1.5	4.0	IV/V	False	('F', 'A', 'C')	F	F	0.0	major triad	(0, 5, 9)	F	C	4	5
7.0	0.5	5.0	C4	60.0	True	5.0	1.5	4.0	IV/V	False	('F', 'A', 'C')	F	F	0.0	major triad	(0, 5, 9)	F	C	4	5
7.5	0.5	6.0	C4	60.0	True	6.0	0.3333	5.0	I/V	True	('E', 'G', 'C')	E	C	1.0	major triad	(0, 4, 7)	F	C	1	5
7.5	0.25	6.0	C5	72.0	True	6.0	0.3333	5.0	I/V	True	('E', 'G', 'C')	E	C	1.0	major triad	(0, 4, 7)	F	C	1	5
7.5	0.5	6.0	E3	52.0	True	6.0	0.3333	5.0	I/V	True	('E', 'G', 'C')	E	C	1.0	major triad	(0, 4, 7)	F	C	1	5
7.5	0.5	6.0	G3	55.0	True	6.0	0.3333	5.0	I/V	True	('E', 'G', 'C')	E	C	1.0	major triad	(0, 4, 7)	F	C	1	5
7.75	0.25	6.0	B4	71.0	True	6.0	0.3333	5.0	I/V	False	('E', 'G', 'C')	E	C	1.0	major triad	(0, 4, 7)	F	C	1	5
7.8333						6.0	1.1667	6.0	I/V	True	('C', 'E', 'G')	C	C	0.0	major triad	(0, 4, 7)	F	C	1	5
8.0	0.25	6.0	C5	72.0	True	6.0	1.1667	6.0	I/V	False	('C', 'E', 'G')	C	C	0.0	major triad	(0, 4, 7)	F	C	1	5
8.25	0.25	6.0	D5	74.0	True	6.0	1.1667	6.0	I/V	False	('C', 'E', 'G')	C	C	0.0	major triad	(0, 4, 7)	F	C	1	5
8.5	0.5	6.0	C3	48.0	True	6.0	1.1667	6.0	I/V	False	('C', 'E', 'G')	C	C	0.0	major triad	(0, 4, 7)	F	C	1	5
8.5	0.5	6.0	E5	76.0	True	6.0	1.1667	6.0	I/V	False	('C', 'E', 'G')	C	C	0.0	major triad	(0, 4, 7)	F	C	1	5
9.0	0.5	7.0	F4	65.0	True	7.0	0.1667	7.0	ii/V	True	('F', 'A', 'D')	F	D	1.0	minor triad	(2, 5, 9)	F	C	2	5
9.0	0.5	7.0	A4	69.0	True	7.0	0.1667	7.0	ii/V	True	('F', 'A', 'D')	F	D	1.0	minor triad	(2, 5, 9)	F	C	2	5
9.0	0.5	7.0	D5	74.0	True	7.0	0.1667	7.0	ii/V	True	('F', 'A', 'D')	F	D	1.0	minor triad	(2, 5, 9)	F	C	2	5
9.0	0.5	7.0	F3	53.0	True	7.0	0.1667	7.0	ii/V	True	('F', 'A', 'D')	F	D	1.0	minor triad	(2, 5, 9)	F	C	2	5
9.1667						7.0	0.1667	8.0	Cad/V	True	('G', 'C', 'E')	G	C	2.0	major triad	(0, 4, 7)	F	C	1	5
9.3333						7.0	1.1667	9.0	V7/V	True	('G', 'B', 'D', 'F')	G	G	0.0	dominant seventh chord	(2, 5, 7, 11)	F	C	5	5
