j_offset	s_duration	s_measure	s_notes	s_intervals	s_isOnset	a_measure	a_duration	a_annotationNumber	a_romanNumeral	a_isOnset	a_pitchNames	a_bass	a_root	a_inversion	a_quality	a_pcset	a_localKey	a_tonicizedKey	a_degree1	a_degree2
0.0	1.0	1	['A3']	[]	[True]	1.0	4.0	0.0	i	True	('A', 'C', 'E')	A	A	0.0	minor triad	(0, 4, 9)	a	a	1	None
1.0	1.0	1	['A3', 'C5', 'E5']	['m3', 'P5']	[False, True, True]	1.0	4.0	0.0	i	False	('A', 'C', 'E')	A	A	0.0	minor triad	(0, 4, 9)	a	a	1	None
2.0	0.5	1	['A3', 'A4', 'C5']	['P1', 'm3']	[False, True, True]	1.0	4.0	0.0	i	False	('A', 'C', 'E')	A	A	0.0	minor triad	(0, 4, 9)	a	a	1	None
2.5	0.5	1	['A3', 'G4', 'B4']	['m7', 'M2']	[False, True, True]	1.0	4.0	0.0	i	False	('A', 'C', 'E')	A	A	0.0	minor triad	(0, 4, 9)	a	a	1	None
3.0	0.5	1	['A3', 'A4', 'C5']	['P1', 'm3']	[False, True, True]	1.0	4.0	0.0	i	False	('A', 'C', 'E')	A	A	0.0	minor triad	(0, 4, 9)	a	a	1	None
3.5	0.5	1	['A3', 'B4', 'D5']	['M2', 'P4']	[False, True, True]	1.0	4.0	0.0	i	False	('A', 'C', 'E')	A	A	0.0	minor triad	(0, 4, 9)	a	a	1	None
4.0	0.5	2	['A3', 'C5', 'E5']	['m3', 'P5']	[True, True, True]	2.0	2.0	1.0	i	True	('A', 'C', 'E')	A	A	0.0	minor triad	(0, 4, 9)	a	a	1	None
4.5	0.5	2	['A3', 'B4', 'D5']	['M2', 'P4']	[False, True, True]	2.0	2.0	1.0	i	False	('A', 'C', 'E')	A	A	0.0	minor triad	(0, 4, 9)	a	a	1	None
5.0	0.5	2	['A3', 'C5', 'E5']	['m3', 'P5']	[False, True, True]	2.0	2.0	1.0	i	False	('A', 'C', 'E')	A	A	0.0	minor triad	(0, 4, 9)	a	a	1	None
5.5	0.5	2	['A3', 'A4', 'C5']	['P1', 'm3']	[False, True, True]	2.0	2.0	1.0	i	False	('A', 'C', 'E')	A	A	0.0	minor triad	(0, 4, 9)	a	a	1	None
6.0	1.0	2	['G3', 'B4', 'D5']	['M3', 'P5']	[True, True, True]	2.0	2.0	2.0	VII	True	('G', 'B', 'D')	G	G	0.0	major triad	(2, 7, 11)	a	a	7	None
7.0	1.0	2	['G3', 'B4', 'D5']	['M3', 'P5']	[False, True, True]	2.0	2.0	2.0	VII	False	('G', 'B', 'D')	G	G	0.0	major triad	(2, 7, 11)	a	a	7	None
8.0	0.5	3	['G3', 'B4', 'D5']	['M3', 'P5']	[True, True, True]	3.0	2.0	3.0	VII	True	('G', 'B', 'D')	G	G	0.0	major triad	(2, 7, 11)	a	a	7	None
8.5	0.5	3	['G3', 'A4', 'C5']	['M2', 'P4']	[False, True, True]	3.0	2.0	3.0	VII	False	('G', 'B', 'D')	G	G	0.0	major triad	(2, 7, 11)	a	a	7	None
