	onset_div	duration_div	j_offset	s_offset_frac	s_duration	s_duration_frac	s_measure	s_note	s_midi	s_isOnset	s_part_id	s_voice_id	a_measure	a_duration	a_annotationNumber	a_romanNumeral	a_isOnset	a_pitchNames	a_bass	a_root	a_inversion	a_quality	a_pcset	a_localKey	a_tonicizedKey	a_degree1	a_degree2
0	0	2	0.0	0	0.5	1/2	1	B-4	70	True	Basso	1	1.0	4.0	0.0	i	True	('G', 'B-', 'D')	G	G	0.0	minor triad	(2, 7, 10)	g	g	1	None
1	0	2	0.0	0	0.5	1/2	1	G4	67	True	Basso	1	1.0	4.0	0.0	i	True	('G', 'B-', 'D')	G	G	0.0	minor triad	(2, 7, 10)	g	g	1	None
2	0	2	0.0	0	0.5	1/2	1	G4	67	True	Basso	1	1.0	4.0	0.0	i	True	('G', 'B-', 'D')	G	G	0.0	minor triad	(2, 7, 10)	g	g	1	None
3	2	2	0.5	1/2	0.5	1/2	1	C5	72	True	Basso	1	1.0	4.0	0.0	i	False	('G', 'B-', 'D')	G	G	0.0	minor triad	(2, 7, 10)	g	g	1	None
4	2	2	0.5	1/2	0.5	1/2	1	A4	69	True	Basso	1	1.0	4.0	0.0	i	False	('G', 'B-', 'D')	G	G	0.0	minor triad	(2, 7, 10)	g	g	1	None
5	2	2	0.5	1/2	0.5	1/2	1	G4	67	True	Basso	1	1.0	4.0	0.0	i	False	('G', 'B-', 'D')	G	G	0.0	minor triad	(2, 7, 10)	g	g	1	None
6	4	4	1.0	1	1.0	1	1	D5	74	True	Basso	1	1.0	4.0	0.0	i	False	('G', 'B-', 'D')	G	G	0.0	minor triad	(2, 7, 10)	g	g	1	None
7	4	4	1.0	1	1.0	1	1	B-4	70	True	Basso	1	1.0	4.0	0.0	i	False	('G', 'B-', 'D')	G	G	0.0	minor triad	(2, 7, 10)	g	g	1	None
8	4	4	1.0	1	1.0	1	1	G4	67	True	Basso	1	1.0	4.0	0.0	i	False	('G', 'B-', 'D')	G	G	0.0	minor triad	(2, 7, 10)	g	g	1	None
9	8	4	2.0	2	1.0	1	1	D5	74	True	Basso	1	1.0	4.0	0.0	i	False	('G', 'B-', 'D')	G	G	0.0	minor triad	(2, 7, 10)	g	g	1	None
10	8	4	2.0	2	1.0	1	1	B-4	70	True	Basso	1	1.0	4.0	0.0	i	False	('G', 'B-', 'D')	G	G	0.0	minor triad	(2, 7, 10)	g	g	1	None
11	8	4	2.0	2	1.0	1	1	G4	67	True	Basso	1	1.0	4.0	0.0	i	False	('G', 'B-', 'D')	G	G	0.0	minor triad	(2, 7, 10)	g	g	1	None
12	12	4	3.0	3	1.0	1	1	D5	74	True	Basso	1	1.0	4.0	0.0	i	False	('G', 'B-', 'D')	G	G	0.0	minor triad	(2, 7, 10)	g	g	1	None
13	12	4	3.0	3	1.0	1	1	B-4	70	True	Basso	1	1.0	4.0	0.0	i	False	('G', 'B-', 'D')	G	G	0.0	minor triad	(2, 7, 10)	g	g	1	None
14	12	4	3.0	3	1.0	1	1	G4	67	True	Basso	1	1.0	4.0	0.0	i	False	('G', 'B-', 'D')	G	G	0.0	minor triad	(2, 7, 10)	g	g	1	None
15	16	4	4.0	4	1.0	1	2	D5	74	True	Basso	1	2.0	2.0	1.0	i	True	('G', 'B-', 'D')	G	G	0.0	minor triad	(2, 7, 10)	g	g	1	None
16	16	4	4.0	4	1.0	1	2	B-4	70	True	Basso	1	2.0	2.0	1.0	i	True	('G', 'B-', 'D')	G	G	0.0	minor triad	(2, 7, 10)	g	g	1	None
17	16	4	4.0	4	1.0	1	2	G4	67	True	Basso	1	2.0	2.0	1.0	i	True	('G', 'B-', 'D')	G	G	0.0	minor triad	(2, 7, 10)	g	g	1	None
18	20	2	5.0	5	0.5	1/2	2	D5	74	True	Basso	1	2.0	2.0	1.0	i	False	('G', 'B-', 'D')	G	G	0.0	minor triad	(2, 7, 10)	g	g	1	None
19	20	2	5.0	5	0.5	1/2	2	B-4	70	True	Basso	1	2.0	2.0	1.0	i	False	('G', 'B-', 'D')	G	G	0.0	minor triad	(2, 7, 10)	g	g	1	None
