onset_div	duration_div	j_offset	s_offset_frac	s_duration	s_duration_frac	s_measure	ks_fifths	ts_beats	ts_beat_type	measureNumberWithSuffix	onset_beat	s_note	s_midi	s_isOnset	s_step	s_alter	mn_onset	s_beat_float	s_downbeat	s_part_id	s_voice_id	a_measure	a_duration	a_annotationNumber	a_romanNumeral	a_isOnset	a_pitchNames	a_bass	a_root	a_inversion	a_quality	a_pcset	a_localKey	a_tonicizedKey	a_degree1	a_degree2	a_simpleNumeral	valid_chord_label
0	2	0.0	0	1.0	1	0	-3	2	2	0	0.0	B-3	58	True	B	-1	0	1.0	1	P2-Staff2	5	0	1.0	0	V	True	('B-', 'D', 'F')	B-	B-	0	major triad	(2, 5, 10)	E-	E-	5	None	V	True
2	2	1.0	1	1.0	1	1	-3	2	2	1	0.5	B-3	58	True	B	-1	0	1.0	1	P2-Staff2	6	1	2.0	1	I	True	('E-', 'G', 'B-')	E-	E-	0	major triad	(3, 7, 10)	E-	E-	1	None	I	True
2	4	1.0	1	2.0	2	1	-3	2	2	1	0.5	B-3	58	True	B	-1	0	1.0	1	P2-Staff2	6	1	2.0	1	I	True	('E-', 'G', 'B-')	E-	E-	0	major triad	(3, 7, 10)	E-	E-	1	None	I	True
2	1	1.0	1	0.5	1/2	1	-3	2	2	1	0.5	E-2	39	True	E	-1	0	1.0	1	P2-Staff2	6	1	2.0	1	I	True	('E-', 'G', 'B-')	E-	E-	0	major triad	(3, 7, 10)	E-	E-	1	None	I	True
3	2	1.5	3/2	1.0	1	1	-3	2	2	1	0.75	B-2	46	True	B	-1	1/8	1.25	0	P2-Staff2	6	1	2.0	1	I	False	('E-', 'G', 'B-')	E-	E-	0	major triad	(3, 7, 10)	E-	E-	1	None	I	True
4	2	2.0	2	1.0	1	1	-3	2	2	1	1.0	G4	67	True	G	0	1/4	1.5	0	P2-Staff2	6	1	2.0	1	I	False	('E-', 'G', 'B-')	E-	E-	0	major triad	(3, 7, 10)	E-	E-	1	None	I	True
5	1	2.5	5/2	0.5	1/2	1	-3	2	2	1	1.25	B-2	46	True	B	-1	3/8	1.75	0	P2-Staff2	6	1	2.0	1	I	False	('E-', 'G', 'B-')	E-	E-	0	major triad	(3, 7, 10)	E-	E-	1	None	I	True
6	2	3.0	3	1.0	1	1	-3	2	2	1	1.5	F#4	66	True	F	1	1/2	2.0	2	P2-Staff2	6	1	1.0	2	viio7/iii	True	('E-', 'F#', 'A', 'C')	E-	F#	3	diminished seventh chord	(0, 3, 6, 9)	E-	g	#7	3	viio7	True
6	2	3.0	3	1.0	1	1	-3	2	2	1	1.5	A3	57	True	A	0	1/2	2.0	2	P2-Staff2	6	1	1.0	2	viio7/iii	True	('E-', 'F#', 'A', 'C')	E-	F#	3	diminished seventh chord	(0, 3, 6, 9)	E-	g	#7	3	viio7	True
6	1	3.0	3	0.5	1/2	1	-3	2	2	1	1.5	E-3	51	True	E	-1	1/2	2.0	2	P2-Staff2	6	1	1.0	2	viio7/iii	True	('E-', 'F#', 'A', 'C')	E-	F#	3	diminished seventh chord	(0, 3, 6, 9)	E-	g	#7	3	viio7	True
7	2	3.5	7/2	1.0	1	1	-3	2	2	1	1.75	B-2	46	True	B	-1	5/8	2.25	0	P2-Staff2	6	1	1.0	2	viio7/iii	False	('E-', 'F#', 'A', 'C')	E-	F#	3	diminished seventh chord	(0, 3, 6, 9)	E-	g	#7	3	viio7	True
8	2	4.0	4	1.0	1	1	-3	2	2	1	2.0	G4	67	True	G	0	3/4	2.5	0	P2-Staff2	6	1	1.0	3	I	True	('B-', 'E-', 'G')	B-	E-	2	major triad	(3, 7, 10)	E-	E-	1	None	I	True
8	2	4.0	4	1.0	1	1	-3	2	2	1	2.0	B-3	58	True	B	-1	3/4	2.5	0	P2-Staff2	6	1	1.0	3	I	True	('B-', 'E-', 'G')	B-	E-	2	major triad	(3, 7, 10)	E-	E-	1	None	I	True
9	1	4.5	9/2	0.5	1/2	1	-3	2	2	1	2.25	B-2	46	True	B	-1	7/8	2.75	0	P2-Staff2	6	1	1.0	3	I	False	('B-', 'E-', 'G')	B-	E-	2	major triad	(3, 7, 10)	E-	E-	1	None	I	True
10	2	5.0	5	1.0	1	2	-3	2	2	2	2.5	F#4	66	True	F	1	0	1.0	1	P2-Staff2	6	2	1.0	4	viio/iii	True	('A', 'C', 'F#')	A	F#	1	diminished triad	(0, 6, 9)	E-	g	#7	3	viio	True
10	2	5.0	5	1.0	1	2	-3	2	2	2	2.5	A3	57	True	A	0	0	1.0	1	P2-Staff2	6	2	1.0	4	viio/iii	True	('A', 'C', 'F#')	A	F#	1	diminished triad	(0, 6, 9)	E-	g	#7	3	viio	True
10	1	5.0	5	0.5	1/2	2	-3	2	2	2	2.5	B-2	46	False	B	-1	0	1.0	1	P2-Staff2	6	2	1.0	4	viio/iii	True	('A', 'C', 'F#')	A	F#	1	diminished triad	(0, 6, 9)	E-	g	#7	3	viio	True
11	1	5.5	11/2	0.5	1/2	2	-3	2	2	2	2.75	B-2	46	True	B	-1	1/8	1.25	0	P2-Staff2	6	2	1.0	4	viio/iii	False	('A', 'C', 'F#')	A	F#	1	diminished triad	(0, 6, 9)	E-	g	#7	3	viio	True
12	2	6.0	6	1.0	1	2	-3	2	2	2	3.0	G4	67	True	G	0	1/4	1.5	0	P2-Staff2	6	2	1.0	5	I	True	('E-', 'G', 'B-')	E-	E-	0	major triad	(3, 7, 10)	E-	E-	1	None	I	True
12	2	6.0	6	1.0	1	2	-3	2	2	2	3.0	E-3	51	True	E	-1	1/4	1.5	0	P2-Staff2	1	2	1.0	5	I	True	('E-', 'G', 'B-')	E-	E-	0	major triad	(3, 7, 10)	E-	E-	1	None	I	True
12	2	6.0	6	1.0	1	2	-3	2	2	2	3.0	B-3	58	True	B	-1	1/4	1.5	0	P2-Staff2	1	2	1.0	5	I	True	('E-', 'G', 'B-')	E-	E-	0	major triad	(3, 7, 10)	E-	E-	1	None	I	True
12	1	6.0	6	0.5	1/2	2	-3	2	2	2	3.0	E-3	51	True	E	-1	1/4	1.5	0	P2-Staff2	6	2	1.0	5	I	True	('E-', 'G', 'B-')	E-	E-	0	major triad	(3, 7, 10)	E-	E-	1	None	I	True
13	1	6.5	13/2	0.5	1/2	2	-3	2	2	2	3.25	B-2	46	True	B	-1	3/8	1.75	0	P2-Staff2	6	2	1.0	5	I	False	('E-', 'G', 'B-')	E-	E-	0	major triad	(3, 7, 10)	E-	E-	1	None	I	True
14	0	7.0	7	0.0	0	2	-3	2	2	2	3.5	B-4	70	True	B	-1	1/2	2.0	2	P2-Staff2	6	2	2.0	6	IV	True	('A-', 'C', 'E-')	A-	A-	0	major triad	(0, 3, 8)	E-	E-	4	None	IV	True
14	2	7.0	7	1.0	1	2	-3	2	2	2	3.5	C4	60	True	C	0	1/2	2.0	2	P2-Staff2	1	2	2.0	6	IV	True	('A-', 'C', 'E-')	A-	A-	0	major triad	(0, 3, 8)	E-	E-	4	None	IV	True
