j_offset	s_duration	s_measure	s_note	s_midi	s_isOnset	a_measure	a_duration	a_annotationNumber	a_romanNumeral	a_isOnset	a_pitchNames	a_bass	a_root	a_inversion	a_quality	a_pcset	a_localKey	a_tonicizedKey	a_degree1	a_degree2
0.0	1.0	1.0	D4	62.0	True	1.0	2.0	0.0	i	True	('D',)	D	D	0.0	note	(2,)	d	d	1	None
0.0	1.0	1.0	D5	74.0	True	1.0	2.0	0.0	i	True	('D',)	D	D	0.0	note	(2,)	d	d	1	None
0.0	1.0	1.0	D3	50.0	True	1.0	2.0	0.0	i	True	('D',)	D	D	0.0	note	(2,)	d	d	1	None
0.0	1.0	1.0	D4	62.0	True	1.0	2.0	0.0	i	True	('D',)	D	D	0.0	note	(2,)	d	d	1	None
1.0	0.875	1.0	D4	62.0	True	1.0	2.0	0.0	i	False	('D',)	D	D	0.0	note	(2,)	d	d	1	None
1.0	0.875	1.0	D5	74.0	True	1.0	2.0	0.0	i	False	('D',)	D	D	0.0	note	(2,)	d	d	1	None
1.0	0.875	1.0	D3	50.0	True	1.0	2.0	0.0	i	False	('D',)	D	D	0.0	note	(2,)	d	d	1	None
1.0	0.875	1.0	D4	62.0	True	1.0	2.0	0.0	i	False	('D',)	D	D	0.0	note	(2,)	d	d	1	None
1.875	0.125	1.0	D4	62.0	True	1.0	2.0	0.0	i	False	('D',)	D	D	0.0	note	(2,)	d	d	1	None
1.875	0.125	1.0	D5	74.0	True	1.0	2.0	0.0	i	False	('D',)	D	D	0.0	note	(2,)	d	d	1	None
1.875	0.125	1.0	D3	50.0	True	1.0	2.0	0.0	i	False	('D',)	D	D	0.0	note	(2,)	d	d	1	None
1.875	0.125	1.0	D4	62.0	True	1.0	2.0	0.0	i	False	('D',)	D	D	0.0	note	(2,)	d	d	1	None
2.0	2.0	1.0	A4	69.0	True	1.0	2.0	1.0	V	True	('A',)	A	A	0.0	note	(9,)	d	d	5	None
2.0	2.0	1.0	A3	57.0	True	1.0	2.0	1.0	V	True	('A',)	A	A	0.0	note	(9,)	d	d	5	None
2.0	2.0	1.0	A4	69.0	True	1.0	2.0	1.0	V	True	('A',)	A	A	0.0	note	(9,)	d	d	5	None
2.0	2.0	1.0	A5	81.0	True	1.0	2.0	1.0	V	True	('A',)	A	A	0.0	note	(9,)	d	d	5	None
